,training_round,random,left,lvl1,lvl2,wins_p1,ties,game_length,loss_p1,loss_p2
0,0,0.3,0.0,0.16,0.01,,,,,
1,1,0.81,0.5,0.63,0.23,0.526,0.001,19.879,0.13995128860988482,0.13783582611517473
2,2,0.71,0.5,0.56,0.14,0.53,0.0,19.532,0.1154353536851704,0.11523995162919165
3,3,0.84,0.5,0.64,0.29,0.52,0.0,19.477999999999998,0.11905889641493557,0.11623206014558675
4,4,0.82,0.5,0.73,0.32,0.528,0.003,19.435,0.11480819068476557,0.11812705954536795
5,5,0.78,0.5,0.71,0.3,0.48000000000000004,0.002,18.899,0.12865748882293698,0.12354386957362296
6,6,0.89,1.0,0.71,0.22,0.46900000000000003,0.002,19.007,0.12969219858944414,0.12321064512059092
7,7,0.85,0.0,0.71,0.28,0.491,0.001,19.173,0.12874017610400915,0.13429817750677467
8,8,0.83,0.5,0.58,0.32,0.49299999999999994,0.003,19.457,0.13095728170126678,0.14162975311279294
9,9,0.85,0.5,0.58,0.07,0.47000000000000003,0.001,18.969,0.13086398515477776,0.14341143175959584
10,10,0.78,0.5,0.62,0.25,0.49800000000000005,0.002,19.1,0.13212017304450274,0.14788040692359208
11,11,0.86,0.5,0.72,0.25,0.491,0.003,19.337,0.1447395234182477,0.14901300171762705
12,12,0.84,0.0,0.62,0.24,0.47100000000000003,0.004,19.301,0.13054891232401133,0.15021278308331967
13,13,0.73,1.0,0.56,0.24,0.49,0.002,19.429000000000002,0.13725198531895874,0.1394743965268135
14,14,0.67,0.0,0.57,0.11,0.499,0.001,19.35,0.14129002884030342,0.14334902511537076
15,15,0.69,0.0,0.53,0.1,0.531,0.004,19.51,0.13551649893075227,0.1470801238678396
16,16,0.81,0.5,0.52,0.25,0.491,0.006,19.449,0.14128855216503144,0.15120422051846982
17,17,0.82,0.5,0.76,0.13,0.48000000000000004,0.005,18.984,0.14546106030791994,0.1420248606055975
18,18,0.65,0.5,0.51,0.13,0.47100000000000003,0.004,19.748,0.14127137642353774,0.14431347654759885
19,19,0.82,0.0,0.64,0.17,0.535,0.006,19.192999999999998,0.1480846535488963,0.15118440280109646
20,20,0.8,0.0,0.71,0.19,0.525,0.004,19.177,0.14262253285199405,0.14332209239155055
21,21,0.87,0.0,0.69,0.2,0.513,0.004,19.486,0.14782957803457974,0.14792606631666422
22,22,0.89,0.0,0.73,0.16,0.503,0.003,19.92,0.14586012147367,0.14979080212861298
23,23,0.8,0.5,0.68,0.25,0.48899999999999993,0.002,19.507,0.14895403057336806,0.15346719419956206
24,24,0.84,0.5,0.64,0.29,0.516,0.003,19.480999999999998,0.14746887551248072,0.1554930071234703
25,25,0.92,0.0,0.8,0.29,0.526,0.001,19.423,0.14306470786780118,0.15126751682907344
26,26,0.75,0.0,0.64,0.13,0.505,0.002,19.164,0.15921663679927586,0.16313232047110796
27,27,0.76,0.0,0.67,0.15,0.495,0.002,18.963,0.15819699520617722,0.159758241340518
28,28,0.88,0.5,0.66,0.3,0.509,0.002,19.119,0.16782247989624738,0.15504474655538794
29,29,0.7,0.0,0.55,0.06,0.539,0.004,19.512999999999998,0.1647836041226983,0.15889220760017633
30,30,0.72,1.0,0.6,0.08,0.502,0.002,19.772000000000002,0.16323469733446835,0.15552243535965682
31,31,0.79,0.0,0.67,0.13,0.52,0.001,19.407,0.1627779007181525,0.1594530076980591
32,32,0.81,0.5,0.56,0.29,0.512,0.001,19.525,0.1649961915165186,0.1651839313954115
33,33,0.85,0.5,0.56,0.18,0.475,0.002,19.023,0.17750491166114807,0.15578873843327165
34,34,0.77,0.0,0.56,0.21,0.5,0.004,19.66,0.17330288542062044,0.15844747737795115
35,35,0.78,0.5,0.51,0.11,0.488,0.003,19.565,0.17192263320833445,0.1627365274131298
36,36,0.86,0.5,0.76,0.27,0.45999999999999996,0.006,19.417,0.17051828062534333,0.15809203888475895
37,37,0.86,0.5,0.62,0.23,0.519,0.003,19.750999999999998,0.17238571802526712,0.16156104398518803
38,38,0.84,0.5,0.65,0.27,0.511,0.004,19.425,0.173200258821249,0.1643344120234251
39,39,0.9,0.0,0.75,0.22,0.518,0.005,19.247,0.16832314862310888,0.16036933483183385
