,training_round,random,left,lvl1,lvl2,wins_p1,ties,game_length,loss_p1,loss_p2
0,0,0.46,0.0,0.33,0.18,,,,,
1,1,0.82,0.0,0.57,0.24,0.48899999999999993,0.004,19.723,0.1524863896513683,0.15260051470625424
2,2,0.83,0.0,0.69,0.23,0.496,0.006,19.32,0.10580090741440654,0.11149310265108944
3,3,0.72,0.5,0.62,0.09,0.495,0.001,19.644000000000002,0.11155465318635106,0.11513684436306355
4,4,0.85,0.0,0.6,0.24,0.5099999999999999,0.001,19.099,0.11647738625854255,0.1177050774656236
5,5,0.74,0.5,0.62,0.28,0.48899999999999993,0.003,19.115,0.11568673246353865,0.12770575601607562
6,6,0.8,0.5,0.62,0.28,0.5070000000000001,0.003,19.706,0.13338092020154,0.1308625516369939
7,7,0.84,0.0,0.67,0.23,0.528,0.0,19.38,0.12564418852329254,0.12952049124985934
8,8,0.77,1.0,0.6,0.17,0.509,0.001,19.576,0.13168138764053586,0.13482840057834986
9,9,0.78,0.5,0.72,0.19,0.48300000000000004,0.005,19.762,0.13411940340697764,0.1296861105337739
10,10,0.66,0.5,0.43,0.1,0.504,0.002,19.471,0.13623962880671026,0.1370836133658886
11,11,0.83,0.5,0.75,0.36,0.5059999999999999,0.003,19.567,0.1367487803772092,0.14317731766402722
12,12,0.8,0.5,0.65,0.25,0.48500000000000004,0.002,19.428,0.13642337157577275,0.14091177965700627
13,13,0.77,0.5,0.62,0.21,0.47100000000000003,0.005,19.662,0.14408686020970346,0.14086753740161656
14,14,0.85,0.5,0.63,0.16,0.505,0.001,19.105,0.14811635141819715,0.14133627134189009
15,15,0.76,0.0,0.68,0.07,0.503,0.003,19.268,0.1466799878180027,0.13990839502960445
16,16,0.73,0.0,0.4,0.09,0.4940000000000001,0.002,19.463,0.14082332591712474,0.13886126536130905
17,17,0.78,0.0,0.54,0.05,0.513,0.003,18.647000000000002,0.1556326649338007,0.14836849911510944
18,18,0.89,0.5,0.8,0.23,0.518,0.002,19.136,0.14359540447220207,0.14454655776172876
19,19,0.9,0.5,0.76,0.25,0.48500000000000004,0.002,19.17,0.14615752873569726,0.14764381235837934
20,20,0.79,0.0,0.63,0.1,0.475,0.006,19.762999999999998,0.14706273793429134,0.15222406613081693
21,21,0.78,0.5,0.67,0.07,0.5070000000000001,0.002,18.817,0.1492868526056409,0.14743105985969304
22,22,0.83,0.5,0.72,0.19,0.47600000000000003,0.003,19.089000000000002,0.15028647188097238,0.15305542206019165
23,23,0.74,0.0,0.6,0.13,0.525,0.0,19.637,0.15449446206539869,0.16079578307271006
