,training_round,random,left,lvl1,lvl2,wins_p1,ties,game_length,loss_p1,loss_p2
0,0,0.49,0.0,0.29,0.05,,,,,
1,1,0.72,0.5,0.57,0.11,0.5009999999999999,0.003,19.078,0.15417623409379266,0.16066566686306666
2,2,0.84,0.5,0.67,0.22,0.48500000000000004,0.003,17.801,0.1337978128865361,0.13056151581555606
3,3,0.86,0.5,0.66,0.19,0.532,0.002,16.952,0.13365732157230378,0.13555221838504075
4,4,0.93,1.0,0.74,0.14,0.49299999999999994,0.0,16.727,0.14292789313942195,0.13973602467775345
5,5,0.91,0.5,0.81,0.35,0.5099999999999999,0.001,17.2,0.13449380042776465,0.1343737081065774
6,6,0.78,0.0,0.7,0.21,0.504,0.001,17.112000000000002,0.14497049132734538,0.14454787626862525
7,7,0.85,0.0,0.75,0.24,0.525,0.001,17.108,0.15478234601020813,0.14437399783730506
8,8,0.84,0.5,0.74,0.27,0.508,0.002,16.607,0.16424830888956785,0.14607743346691132
9,9,0.9,0.5,0.81,0.24,0.5,0.001,16.14,0.1495976673513651,0.1402784664928913
10,10,0.91,0.0,0.83,0.35,0.5099999999999999,0.004,17.361,0.15617600038647653,0.14984412264823913
11,11,0.8,0.0,0.78,0.3,0.504,0.002,17.004,0.1520475040525198,0.14772304155677554
12,12,0.81,0.5,0.76,0.27,0.5070000000000001,0.002,17.291,0.14606124944984913,0.14612306998670102
13,13,0.86,0.0,0.73,0.26,0.509,0.0,16.980999999999998,0.15030238377302885,0.15036869533360006
14,14,0.76,0.0,0.57,0.31,0.453,0.002,17.27,0.15488403046131133,0.1461340457573533
15,15,0.92,0.0,0.65,0.25,0.523,0.002,17.109,0.1519259625300765,0.14374396397173406
16,16,0.85,0.5,0.79,0.24,0.488,0.002,16.91,0.15765292663127184,0.16197157686948774
17,17,0.88,1.0,0.67,0.26,0.465,0.002,16.798,0.14615526909008622,0.15610720606148246
18,18,0.92,1.0,0.81,0.31,0.48000000000000004,0.003,17.064,0.15189222083240747,0.15466778097301725
19,19,0.84,0.0,0.65,0.22,0.442,0.002,16.627,0.1547072434425354,0.1540838377252221
20,20,0.91,0.5,0.71,0.22,0.541,0.002,17.044,0.15851080144941807,0.16384633437544108
21,21,0.82,0.0,0.73,0.16,0.495,0.0,17.175,0.16222909043729306,0.17378391466289758
