,training_round,random,left,lvl1,lvl2,wins_p1,ties,game_length,loss_p1,loss_p2
0,0,0.68,0.0,0.33,0.14,,,,,
1,1,0.84,0.0,0.72,0.2,0.482,0.004,20.337,0.1322876623298432,0.12885442542122494
2,2,0.79,1.0,0.61,0.24,0.475,0.001,20.262999999999998,0.11169165107235313,0.11043815121427178
3,3,0.77,0.5,0.56,0.15,0.521,0.0,19.701,0.1041905989125371,0.10805687732249497
4,4,0.87,0.0,0.76,0.2,0.5009999999999999,0.001,19.285,0.11982291153073313,0.11681165697798132
5,5,0.82,0.5,0.74,0.34,0.535,0.003,19.448,0.12064171642810105,0.11502441792190075
6,6,0.76,0.5,0.53,0.15,0.47800000000000004,0.003,18.924,0.1251249163225293,0.11976581667736172
7,7,0.82,0.5,0.63,0.17,0.496,0.0,18.698,0.13168509774282575,0.13114585814625024
8,8,0.86,0.0,0.51,0.14,0.5009999999999999,0.003,18.894000000000002,0.13497561528533694,0.14417910111695528
9,9,0.75,0.5,0.52,0.22,0.481,0.003,18.504,0.14787947817891836,0.14630089259892706
10,10,0.77,0.5,0.55,0.13,0.479,0.003,18.57,0.14585333004593848,0.1410528004616499
11,11,0.71,0.0,0.64,0.1,0.5009999999999999,0.0,18.337,0.14427302666008476,0.14991745676100254
12,12,0.78,0.0,0.62,0.16,0.48300000000000004,0.003,18.544,0.15051999351382256,0.14975909244269134
13,13,0.76,0.0,0.67,0.17,0.496,0.001,17.913,0.15495554065704345,0.14435220667719842
14,14,0.89,0.0,0.72,0.25,0.524,0.001,17.816,0.15431037686020135,0.14809132298082114
15,15,0.8,0.5,0.57,0.2,0.512,0.001,16.919,0.15211153662949803,0.15520588164031507
16,16,0.75,0.5,0.59,0.16,0.518,0.002,17.255,0.15427977149933578,0.14912207043915987
17,17,0.77,0.5,0.69,0.13,0.49800000000000005,0.002,17.545,0.1528353598192334,0.15544358679652215
18,18,0.77,0.5,0.73,0.22,0.49800000000000005,0.0,17.695999999999998,0.15915129342675208,0.15376559503376486
19,19,0.81,0.5,0.58,0.21,0.515,0.0,17.223,0.16417783493548632,0.1577295635342598
20,20,0.89,0.5,0.74,0.32,0.503,0.004,17.386,0.16456584710627795,0.16076678711175918
21,21,0.8,0.0,0.64,0.11,0.513,0.001,16.562,0.16334543471783403,0.16493065825104716
22,22,0.8,0.0,0.76,0.28,0.49,0.0,16.61,0.1624209940135479,0.1624741220846772
23,23,0.73,0.5,0.5,0.15,0.4660000000000001,0.002,17.417,0.16808197434991598,0.16037891347706318
24,24,0.79,0.0,0.59,0.17,0.523,0.001,17.294,0.16470023116469384,0.16512446900457145
25,25,0.89,0.5,0.83,0.24,0.513,0.001,16.456,0.17241657877713445,0.17427599493414164
26,26,0.84,0.5,0.65,0.25,0.5059999999999999,0.002,16.340999999999998,0.17628267907351255,0.17404105870425698
27,27,0.74,0.5,0.51,0.18,0.512,0.001,16.102,0.17642636607587334,0.16917010336369276
28,28,0.88,0.5,0.75,0.35,0.532,0.001,16.79,0.16459447325766086,0.1613432953953743
29,29,0.87,0.5,0.77,0.34,0.496,0.001,17.320999999999998,0.1639540291056037,0.16290006335824728
30,30,0.85,0.0,0.73,0.23,0.5139999999999999,0.002,16.883,0.1627280124425888,0.160767280600965
31,31,0.84,0.5,0.78,0.26,0.515,0.003,16.636,0.17171335611492394,0.1651344636976719
32,32,0.86,0.0,0.7,0.12,0.505,0.0,16.697,0.16279949682950973,0.15953186489641666
33,33,0.82,0.5,0.61,0.18,0.5099999999999999,0.0,16.238,0.16335851836949586,0.17392513589560984
34,34,0.78,0.0,0.55,0.17,0.505,0.0,15.869000000000002,0.17573647395521402,0.1752359145283699
35,35,0.79,0.0,0.64,0.22,0.4680000000000001,0.002,16.889,0.16780560486763715,0.1761360742524266
36,36,0.82,0.5,0.74,0.22,0.521,0.003,16.105999999999998,0.17490512404590844,0.17940998884290454
37,37,0.85,0.5,0.76,0.25,0.48500000000000004,0.001,16.011,0.18387202902138236,0.1878242320492864
38,38,0.8,0.5,0.65,0.22,0.52,0.001,16.453,0.1721021114885807,0.17486725325137376
39,39,0.81,0.0,0.75,0.25,0.523,0.003,16.167,0.17504012860357762,0.17090650428831575
40,40,0.86,0.5,0.68,0.23,0.545,0.001,16.174,0.1705392140969634,0.16802370280772447
41,41,0.87,0.0,0.78,0.15,0.5269999999999999,0.002,16.234,0.18121988601237532,0.17980143201351165
42,42,0.93,0.5,0.78,0.23,0.528,0.001,15.989,0.17829506716877222,0.1900945000872016
43,43,0.91,0.0,0.71,0.21,0.472,0.001,15.658,0.18593380483984948,0.18749744526296852
44,44,0.88,0.0,0.8,0.26,0.56,0.001,16.308,0.1823440712466836,0.17989649895578622
45,45,0.92,0.0,0.85,0.3,0.543,0.003,15.575,0.1882562029659748,0.18513177724182608
46,46,0.85,0.0,0.67,0.1,0.548,0.002,16.266,0.1915515515357256,0.18772213073074814
47,47,0.87,0.5,0.66,0.14,0.48600000000000004,0.002,16.017,0.19369198849797248,0.19417676720023155
48,48,0.94,0.5,0.87,0.34,0.53,0.004,14.89,0.1965665042474866,0.1934860895201564
49,49,0.9,0.5,0.82,0.26,0.48700000000000004,0.002,15.731,0.199169488504529,0.1899822849780321
50,50,0.94,0.5,0.76,0.27,0.496,0.005,16.804000000000002,0.18960841289907693,0.19055702599138025
51,51,0.85,0.5,0.73,0.29,0.517,0.0,16.283,0.20322677458822727,0.20221514454483985
52,52,0.9,0.0,0.72,0.26,0.585,0.001,16.543,0.19078398279100656,0.19210372669249773
53,53,0.93,0.5,0.81,0.4,0.512,0.002,16.477999999999998,0.1920158079043031,0.18733482265472406
54,54,0.89,1.0,0.73,0.3,0.553,0.002,16.272000000000002,0.189701595492661,0.19708132745325568
55,55,0.97,0.5,0.85,0.35,0.531,0.001,15.738,0.1916358554586768,0.1968964670374989
56,56,0.85,0.0,0.6,0.32,0.47600000000000003,0.001,15.878,0.1986201425716281,0.19083610182255506
57,57,0.9,1.0,0.77,0.32,0.533,0.0,15.785,0.2026266861259937,0.19363812456279994
58,58,0.9,0.5,0.82,0.39,0.53,0.002,17.202,0.18037232682853935,0.18167902176082132
59,59,0.96,0.5,0.83,0.44,0.542,0.001,16.680999999999997,0.185526424318552,0.1895117983147502
60,60,0.89,0.5,0.79,0.27,0.48700000000000004,0.0,17.019000000000002,0.2048903030753136,0.1927484940290451
61,61,0.89,0.0,0.78,0.3,0.46299999999999997,0.003,16.562,0.20721880792826414,0.1918357181698084
62,62,0.89,0.5,0.81,0.3,0.504,0.002,15.472999999999999,0.2035899370983243,0.20227676210552453
63,63,0.91,0.0,0.81,0.22,0.516,0.003,15.925,0.20619838479161265,0.2047955755367875
64,64,0.9,0.5,0.69,0.28,0.549,0.003,17.815,0.19685732363909486,0.19560377342253926
65,65,0.88,0.5,0.75,0.31,0.551,0.001,16.301,0.19868400091677904,0.20145153960585596
66,66,0.87,1.0,0.66,0.22,0.512,0.003,15.895,0.20848238659650087,0.20983525502681727
67,67,0.91,0.0,0.77,0.25,0.511,0.001,15.332,0.21664551179111005,0.22083477384597064
68,68,0.9,0.5,0.77,0.44,0.535,0.001,16.035,0.2119583856761456,0.21344401669502255
69,69,0.85,0.5,0.73,0.22,0.531,0.002,16.707,0.20739670680463315,0.21599511986970898
70,70,0.94,0.5,0.81,0.38,0.561,0.001,16.714000000000002,0.1943707554191351,0.20375785963982346
71,71,0.93,0.5,0.74,0.41,0.465,0.002,15.785,0.2114086471498013,0.213891921967268
