,training_round,random,left,lvl1,lvl2,wins_p1,ties,game_length,loss_p1,loss_p2
0,0,0.53,0.0,0.26,0.12,,,,,
1,1,0.41,0.0,0.23,0.05,0.141,0.006,13.779000000000002,0.25708710328014434,0.22376752093198224
2,2,0.74,0.5,0.57,0.17,0.541,0.0,14.675,0.5028166736414035,0.4883220551287135
3,3,0.78,0.5,0.74,0.05,0.819,0.0,6.319,0.384745927757314,0.6632445359753225
4,4,0.8,0.5,0.6,0.02,0.5,0.0,6.0,0.7479502891792971,0.8032385655811854
5,5,0.81,0.5,0.64,0.01,0.531,0.0,6.569,0.6574425262373846,0.7191996308597358
6,6,0.64,0.5,0.65,0.01,0.9390000000000001,0.0,8.155,0.1267856646736618,0.2331131992950326
7,7,0.68,0.0,0.33,0.19,0.7070000000000001,0.0,12.013,0.30893287288199645,0.2984786537536954
8,8,0.79,0.0,0.55,0.01,0.4660000000000001,0.0,13.994000000000002,0.5361347430282168,0.5383594469868973
9,9,0.65,0.5,0.4,0.09,0.637,0.003,13.989,0.4249595824447978,0.5305055651680699
10,10,0.74,0.0,0.46,0.04,0.4769999999999999,0.0,14.097000000000001,0.5161913548492723,0.5323436954250075
11,11,0.84,0.5,0.74,0.13,0.676,0.0,9.968,0.5094994142651558,0.5105438992166176
12,12,0.89,0.5,0.79,0.1,1.0,0.0,7.404,0.051883439427580336,0.01920607712609359
13,13,0.86,0.5,0.81,0.15,1.0,0.0,6.5,0.0020933074159984245,0.0007077027942560723
14,14,0.92,0.5,0.84,0.13,1.0,0.0,6.5,0.0007265767591889018,0.00029144613695929623
15,15,0.87,0.5,0.82,0.11,1.0,0.0,6.5,0.00021717614854424027,0.00022099630501436288
16,16,0.91,0.5,0.71,0.19,1.0,0.0,6.5,8.331897734024097e-05,0.0001875302958069369
17,17,0.91,0.5,0.78,0.14,1.0,0.0,6.5,5.286718769639265e-05,0.00015698153198600803
18,18,0.91,0.5,0.8,0.13,1.0,0.0,6.5,3.4550066516203515e-05,0.00012549988064815157
19,19,0.93,0.5,0.8,0.19,1.0,0.0,6.5,3.636712973502654e-05,9.256875551620717e-05
20,20,0.88,0.5,0.79,0.15,1.0,0.0,6.5,2.43257367969818e-05,5.730040689481289e-05
21,21,0.88,0.5,0.88,0.16,1.0,0.0,6.5,3.299214705521081e-05,2.8625411045247936e-05
22,22,0.85,0.5,0.88,0.17,0.998,0.0,6.506,0.0026696428280502003,1.250044525867062e-05
23,23,0.77,1.0,0.59,0.28,0.638,0.006,16.791,0.3719837720779812,0.4683805074365366
