,training_round,random,left,lvl1,lvl2,wins_p1,ties,game_length,loss_p1,loss_p2
0,0,0.51,0.5,0.29,0.14,,,,,
1,1,0.66,0.5,0.51,0.1,0.46699999999999997,0.002,21.4,0.11245612195090557,0.1101744615507625
2,2,0.78,0.5,0.71,0.28,0.47400000000000003,0.013000000000000001,19.406,0.1480275536812842,0.14499757110700012
3,3,0.73,0.5,0.55,0.12,0.442,0.003,19.921,0.15370064602792266,0.15227067670971156
4,4,0.8,0.5,0.65,0.28,0.529,0.008,19.872,0.1660587462708354,0.1654915269240737
5,5,0.7,0.5,0.54,0.13,0.417,0.017,22.469,0.15257821064442395,0.1485118368715048
6,6,0.73,0.5,0.55,0.11,0.544,0.003,17.093,0.0918136882930994,0.09721267571114003
7,7,0.74,0.5,0.64,0.17,0.63,0.004,16.523,0.10607240571826697,0.10823825930431484
8,8,0.73,0.5,0.52,0.14,0.449,0.007000000000000001,20.546,0.15461646543443205,0.17021912113577128
9,9,0.78,0.0,0.65,0.27,0.518,0.01,20.875999999999998,0.15252719591557978,0.15904248105734586
10,10,0.81,0.5,0.63,0.19,0.49699999999999994,0.002,18.264,0.15960506918281314,0.1654704201668501
11,11,0.78,0.0,0.63,0.11,0.5269999999999999,0.007000000000000001,19.773,0.14513511196896434,0.15397371073812247
12,12,0.76,0.0,0.66,0.16,0.577,0.009,19.642,0.14967872343212366,0.15960001131147147
13,13,0.8,0.5,0.56,0.21,0.472,0.004,19.248,0.1495477686226368,0.15707846415787935
14,14,0.76,1.0,0.53,0.07,0.488,0.003,18.12,0.15710818669199944,0.16462474861368534
15,15,0.76,0.5,0.64,0.23,0.576,0.002,19.269000000000002,0.13936075637489556,0.14764081505313514
16,16,0.73,0.5,0.63,0.17,0.45,0.003,20.092,0.15760685090348125,0.15755372093990444
17,17,0.81,0.5,0.66,0.16,0.509,0.011,20.094,0.15857009886205195,0.16659468357264995
18,18,0.82,0.5,0.63,0.09,0.511,0.003,21.535999999999998,0.13997918174043295,0.14587284784205254
19,19,0.81,0.0,0.6,0.29,0.531,0.002,19.476,0.14753148915991188,0.15466116361692547
20,20,0.66,0.5,0.5,0.1,0.53,0.004,19.514,0.15053565011173484,0.15549937068670988
21,21,0.75,0.5,0.53,0.16,0.537,0.007000000000000001,20.504,0.14257018769159913,0.14547299379110334
22,22,0.7,0.0,0.42,0.12,0.442,0.003,21.428,0.1444910185970366,0.14569884807989
23,23,0.7,0.0,0.48,0.1,0.4940000000000001,0.016,21.129,0.1503856491446495,0.14822987532243131
24,24,0.79,0.5,0.67,0.19,0.517,0.004,22.098000000000003,0.13756904972344636,0.15188695719465614
25,25,0.7,0.5,0.37,0.09,0.338,0.003,20.14,0.15726171650737525,0.15900484512746335
26,26,0.75,1.0,0.54,0.11,0.503,0.002,22.053,0.14721502128243447,0.1532426709011197
27,27,0.78,0.0,0.68,0.23,0.52,0.006,19.730999999999998,0.1508548725284636,0.1526993289589882
28,28,0.78,1.0,0.51,0.2,0.443,0.007000000000000001,21.340999999999998,0.1671016996949911,0.16800057569146154
29,29,0.68,1.0,0.66,0.21,0.49699999999999994,0.007000000000000001,22.388,0.15800528604909778,0.16279077773913742
30,30,0.75,0.0,0.74,0.23,0.45999999999999996,0.017,23.802,0.15214420259371397,0.15382309420220555
31,31,0.69,0.5,0.59,0.21,0.455,0.008,21.396,0.16375466162711386,0.1727107088416815
32,32,0.85,0.5,0.62,0.14,0.42800000000000005,0.008,21.926,0.16174232212454082,0.16014449835568667
33,33,0.71,0.5,0.54,0.18,0.41500000000000004,0.009,22.383000000000003,0.16706604060530664,0.16413947212696076
34,34,0.76,0.5,0.63,0.15,0.44499999999999995,0.011,21.405,0.16502503642439842,0.16373926655948162
35,35,0.79,0.5,0.72,0.38,0.364,0.005,20.048,0.1476610342692584,0.14382977902330454
36,36,0.77,0.5,0.72,0.29,0.504,0.006,21.535,0.16073389029875398,0.16961063694953918
37,37,0.64,0.5,0.58,0.19,0.612,0.009,23.279,0.15788558604568242,0.16544196258485316
