,training_round,random,left,lvl1,lvl2,wins_p1,ties,game_length,loss_p1,loss_p2
0,0,0.56,0.0,0.4,0.14,,,,,
1,1,0.86,0.0,0.72,0.35,0.49699999999999994,0.005,20.604,0.14727166830350605,0.1495901274557792
2,2,0.77,0.5,0.54,0.13,0.49,0.001,19.452,0.14365742424875494,0.1400105747655034
3,3,0.84,0.5,0.73,0.37,0.511,0.002,19.645,0.1308328420892358,0.13172229374200106
4,4,0.9,0.5,0.68,0.19,0.502,0.001,19.064,0.13183681204915046,0.13818034418672326
5,5,0.81,0.5,0.68,0.18,0.502,0.005,19.779,0.136063054908067,0.13812061802297831
6,6,0.82,0.0,0.67,0.09,0.48500000000000004,0.003,19.707,0.13050167509540914,0.1321017301827669
7,7,0.91,0.0,0.71,0.25,0.509,0.004,19.531,0.12584080538898704,0.13065983480215074
8,8,0.79,1.0,0.58,0.14,0.465,0.0,18.995,0.13672068101912738,0.13456902170926333
9,9,0.8,0.5,0.6,0.29,0.484,0.001,18.921,0.13939208744093776,0.13276348750293254
10,10,0.89,1.0,0.64,0.13,0.5059999999999999,0.004,19.266,0.1431281608119607,0.13631640786677598
11,11,0.81,1.0,0.61,0.26,0.5009999999999999,0.003,18.97,0.1392663629949093,0.13963427176326512
12,12,0.78,0.5,0.65,0.24,0.529,0.001,19.521,0.13624810273200275,0.14139704455435276
13,13,0.87,0.5,0.68,0.15,0.521,0.0,19.281,0.14085006571561098,0.13683725932985544
14,14,0.79,1.0,0.66,0.13,0.502,0.001,18.92,0.14626365008205175,0.13973854925483464
15,15,0.91,0.5,0.75,0.16,0.48700000000000004,0.003,19.551,0.1456022398993373,0.13427078334242107
16,16,0.88,0.5,0.69,0.24,0.499,0.007000000000000001,19.398,0.1430196194946766,0.13465094949305054
17,17,0.82,0.5,0.7,0.28,0.484,0.004,19.564,0.14779287557303905,0.135492481328547
18,18,0.77,0.0,0.6,0.16,0.48500000000000004,0.002,19.49,0.1427880908176303,0.13502988365292548
19,19,0.82,0.5,0.58,0.19,0.505,0.002,19.192999999999998,0.14743027240782974,0.1418034958615899
20,20,0.87,0.5,0.78,0.19,0.482,0.002,19.317999999999998,0.15158403146266938,0.1415633588731289
21,21,0.81,0.5,0.59,0.21,0.532,0.001,18.936,0.15711908627301455,0.15314877215772868
22,22,0.89,0.0,0.66,0.19,0.49,0.001,19.064,0.1585092203915119,0.14599745870381595
23,23,0.76,0.5,0.72,0.22,0.48600000000000004,0.001,19.062,0.15285592330992226,0.13925703969225287
24,24,0.85,0.5,0.67,0.16,0.529,0.002,18.776,0.15451960020512345,0.1442085745409131
25,25,0.88,0.5,0.71,0.29,0.502,0.004,18.995,0.1507440081834793,0.14283648175001146
26,26,0.77,1.0,0.66,0.19,0.48899999999999993,0.003,19.118,0.14875813256949186,0.14701313547790051
27,27,0.7,1.0,0.6,0.12,0.505,0.001,19.131,0.15874973917007446,0.14889877381920816
28,28,0.92,0.5,0.69,0.19,0.512,0.002,19.014,0.15080999595671893,0.14637875643372536
29,29,0.87,0.5,0.68,0.28,0.5269999999999999,0.0,19.029,0.154989234007895,0.14941934167593718
30,30,0.84,0.5,0.54,0.2,0.495,0.003,19.384,0.15751347951591016,0.14800302373617888
31,31,0.83,0.5,0.67,0.14,0.5099999999999999,0.001,18.887999999999998,0.15545371613651515,0.15291392459720374
32,32,0.78,0.5,0.59,0.1,0.5269999999999999,0.001,19.180999999999997,0.1550658810958266,0.15193283946067096
33,33,0.87,0.5,0.7,0.2,0.5059999999999999,0.0,18.934,0.15408246538043022,0.15479231975972652
34,34,0.85,0.5,0.56,0.19,0.503,0.002,18.996,0.1648984119594097,0.15155934012681244
35,35,0.87,1.0,0.7,0.24,0.482,0.004,18.964000000000002,0.16219188042730093,0.15221055050939322
36,36,0.89,0.5,0.71,0.3,0.519,0.004,19.442999999999998,0.15898105788975955,0.15600011486560106
37,37,0.9,0.5,0.75,0.28,0.509,0.001,19.067,0.15961956955492496,0.15624752604216338
38,38,0.96,0.5,0.82,0.24,0.48899999999999993,0.002,19.189,0.1641377181634307,0.1597453109845519
39,39,0.9,0.5,0.82,0.27,0.47400000000000003,0.003,18.651,0.16342160308361053,0.15990633980929853
40,40,0.88,0.5,0.7,0.34,0.462,0.004,19.607,0.16644835690408946,0.15790088330954313
41,41,0.9,0.0,0.75,0.2,0.48899999999999993,0.001,18.539,0.1621975497752428,0.1569227904304862
42,42,0.96,0.5,0.82,0.24,0.4680000000000001,0.002,19.084,0.16639023333787914,0.15581931553035974
43,43,0.87,0.5,0.8,0.41,0.509,0.003,18.771,0.1631749267950654,0.15911541697382928
44,44,0.95,0.5,0.87,0.35,0.46299999999999997,0.0,19.207,0.15996839828044174,0.16423332833498716
45,45,0.89,1.0,0.77,0.32,0.519,0.003,19.066,0.16707800681144,0.16959881702810525
46,46,0.88,1.0,0.79,0.28,0.5139999999999999,0.0,19.148,0.15922911831736564,0.16615973964333533
47,47,0.89,1.0,0.73,0.27,0.48700000000000004,0.0,19.250999999999998,0.16176673036068678,0.16627754315733909
48,48,0.81,1.0,0.68,0.25,0.522,0.002,18.781,0.16082603247463706,0.1594906655177474
49,49,0.74,1.0,0.78,0.3,0.45899999999999996,0.001,19.032,0.17285038674622774,0.1627931774482131
50,50,0.9,0.5,0.76,0.19,0.48300000000000004,0.002,18.878,0.16640435826033353,0.16758459410816431
51,51,0.88,0.5,0.73,0.36,0.508,0.002,19.199,0.17539065639674664,0.16745960965752602
52,52,0.93,1.0,0.84,0.33,0.481,0.004,18.511,0.16425545331835747,0.16439993872493505
53,53,0.85,0.5,0.72,0.3,0.508,0.002,19.089000000000002,0.1674965925514698,0.16450711791962386
54,54,0.94,0.5,0.87,0.27,0.48700000000000004,0.001,18.857,0.1751365443468094,0.17436233726888895
55,55,0.93,0.5,0.85,0.26,0.49299999999999994,0.0,19.019000000000002,0.18138966524600986,0.17545356452465058
56,56,0.91,0.5,0.88,0.26,0.5009999999999999,0.001,19.098,0.18293082462996246,0.1705756832063198
57,57,0.8,0.5,0.56,0.31,0.475,0.002,18.565,0.18203602036088706,0.17663523042947055
58,58,0.84,0.5,0.79,0.27,0.491,0.002,18.980999999999998,0.1831055921018124,0.17036034402996306
59,59,0.9,0.5,0.85,0.4,0.524,0.0,18.602,0.17189332872629165,0.1740641336888075
60,60,0.98,0.0,0.84,0.31,0.537,0.0,18.521,0.17537875775247813,0.1726005839407444
61,61,0.78,0.5,0.66,0.14,0.499,0.003,18.971,0.1856171576976776,0.18453896637260914
62,62,0.93,0.5,0.68,0.21,0.48899999999999993,0.001,18.965999999999998,0.17706537456810476,0.1705969363003969
63,63,0.94,1.0,0.87,0.47,0.499,0.001,18.796,0.18139176219701766,0.17725466798990966
64,64,0.92,1.0,0.89,0.39,0.5099999999999999,0.002,18.469,0.1891212873160839,0.17692425418645144
65,65,0.85,1.0,0.74,0.19,0.505,0.003,18.415,0.17661282063275574,0.1799265774935484
