,training_round,random,left,lvl1,lvl2,wins_p1,ties,game_length,loss_p1,loss_p2
0,0,0.33,0.5,0.22,0.03,,,,,
1,1,0.86,0.0,0.72,0.26,0.49800000000000005,0.005,19.644000000000002,0.13421875811308834,0.13358827208203575
2,2,0.8,0.0,0.62,0.14,0.512,0.001,19.743,0.1289723456054926,0.126516522154212
3,3,0.89,0.0,0.68,0.21,0.49299999999999994,0.004,19.54,0.1242084889151156,0.12653380093723535
4,4,0.9,0.0,0.72,0.16,0.5139999999999999,0.002,18.884,0.12928073747456073,0.13137155900895595
5,5,0.83,0.5,0.67,0.28,0.511,0.004,19.151,0.12731960898265246,0.13026284705847502
6,6,0.94,0.5,0.71,0.18,0.518,0.004,19.35,0.1246486791819334,0.12909330286085605
7,7,0.87,0.5,0.68,0.12,0.518,0.004,19.160999999999998,0.12191837890446185,0.12337618366628884
8,8,0.88,0.5,0.6,0.2,0.48300000000000004,0.001,19.113,0.12488036236912012,0.1247658423408866
9,9,0.83,1.0,0.61,0.16,0.499,0.002,19.598,0.1340360649228096,0.12992599692568182
10,10,0.77,0.0,0.44,0.08,0.509,0.003,19.157,0.12795183881372213,0.12462683990970255
11,11,0.82,1.0,0.69,0.17,0.499,0.005,19.58,0.13016793137788776,0.12688870984688402
12,12,0.82,0.0,0.59,0.15,0.512,0.001,19.002,0.13045398255437612,0.13339650071412326
13,13,0.72,0.5,0.55,0.13,0.5,0.003,18.838,0.12765607256814834,0.1291731832511723
14,14,0.84,0.0,0.67,0.23,0.496,0.001,19.247,0.13747624802589414,0.13513742905855178
15,15,0.8,0.5,0.69,0.27,0.508,0.002,19.052,0.13485337248444554,0.13951133193820714
16,16,0.85,0.5,0.7,0.23,0.504,0.004,19.039,0.1345873989611864,0.14223055417835712
17,17,0.79,0.0,0.61,0.11,0.48500000000000004,0.005,19.546,0.13932170896977186,0.1385624427124858
18,18,0.92,0.5,0.72,0.37,0.537,0.004,19.16,0.13696903839707375,0.13466319668293
19,19,0.73,0.0,0.55,0.17,0.508,0.002,19.285999999999998,0.13585951988399028,0.14000862439721826
20,20,0.88,0.5,0.68,0.13,0.528,0.001,19.279,0.13045690516382455,0.1438423444889486
21,21,0.9,0.5,0.75,0.23,0.4940000000000001,0.003,19.03,0.1308655474036932,0.1414790258258581
22,22,0.87,0.0,0.59,0.15,0.5009999999999999,0.002,18.962,0.13539394008368252,0.1453133078366518
23,23,0.91,0.5,0.81,0.4,0.49299999999999994,0.001,18.980999999999998,0.13233814465999602,0.14043769438937306
24,24,0.94,0.5,0.81,0.43,0.508,0.001,19.113,0.13847656192257998,0.1411855375766754
25,25,0.9,0.0,0.73,0.14,0.49200000000000005,0.002,18.77,0.13938682965934274,0.14214688035845754
26,26,0.82,0.0,0.79,0.35,0.5,0.002,18.988,0.14642981750518086,0.1450591075718403
27,27,0.92,0.5,0.7,0.29,0.458,0.004,18.549,0.13809417245537042,0.1416861987411976
28,28,0.79,0.5,0.65,0.22,0.504,0.0,18.934,0.14356395667791366,0.14904500382393598
29,29,0.88,0.5,0.7,0.2,0.5099999999999999,0.0,19.13,0.14349682627618313,0.14580133809894325
30,30,0.83,0.0,0.71,0.36,0.4769999999999999,0.003,18.83,0.14573159722983836,0.15250539454817771
31,31,0.88,0.5,0.73,0.26,0.519,0.002,18.837,0.15110739907622334,0.15101232594251632
32,32,0.84,0.5,0.73,0.17,0.5,0.001,18.75,0.15369275923073292,0.1544420630708337
33,33,0.93,0.0,0.73,0.22,0.4940000000000001,0.002,18.982,0.148291289947927,0.15206563890725375
34,34,0.95,0.5,0.83,0.27,0.49800000000000005,0.0,19.0,0.152025138348341,0.16034378991276027
35,35,0.85,0.0,0.84,0.12,0.49,0.002,18.92,0.14206522807478905,0.15828927104920149
36,36,0.9,0.5,0.73,0.29,0.465,0.002,19.06,0.14777928883582353,0.15314262399077416
37,37,0.93,1.0,0.84,0.33,0.47000000000000003,0.0,18.982,0.14982479076087474,0.1568614447042346
38,38,0.6,0.5,0.45,0.12,0.47400000000000003,0.003,19.026,0.1540347628965974,0.16151141803711652
39,39,0.84,0.5,0.59,0.21,0.491,0.001,18.421,0.15264349637925625,0.16640595407783984
40,40,0.81,1.0,0.68,0.32,0.481,0.002,19.057000000000002,0.1516844045072794,0.16550498140603306
41,41,0.94,0.5,0.85,0.23,0.52,0.001,19.041,0.14468476875126365,0.15869419728219508
42,42,0.86,0.5,0.73,0.17,0.49699999999999994,0.0,18.665,0.1516301554441452,0.1676126154884696
43,43,0.89,0.5,0.82,0.25,0.491,0.004,18.866,0.16050673834979534,0.17743049930036067
44,44,0.92,1.0,0.83,0.22,0.4680000000000001,0.002,18.71,0.1499707225933671,0.16271666339039806
45,45,0.85,1.0,0.69,0.19,0.5,0.001,18.534000000000002,0.15451590484380726,0.1801852236315608
46,46,0.89,0.5,0.67,0.23,0.48700000000000004,0.003,18.755,0.15299538194388151,0.17651940071582795
47,47,0.92,0.5,0.88,0.2,0.49800000000000005,0.004,18.204,0.16113366051018238,0.17030442564189435
48,48,0.93,0.5,0.77,0.32,0.511,0.0,19.211,0.1638406124189496,0.1733486423790455
49,49,0.97,0.5,0.87,0.28,0.48600000000000004,0.001,19.03,0.15888090373575686,0.16956976444274188
50,50,0.88,0.5,0.81,0.32,0.503,0.003,18.355,0.1632138534411788,0.17658514454215765
51,51,0.93,0.5,0.79,0.27,0.458,0.001,18.910999999999998,0.1714774504378438,0.17633476650714874
52,52,0.93,0.0,0.81,0.3,0.495,0.003,18.985,0.1658288551643491,0.17556014097481967
53,53,0.94,0.0,0.85,0.25,0.505,0.002,18.093,0.15980956811457872,0.18071598014235496
