,training_round,random,left,lvl1,lvl2,wins_p1,ties,game_length,loss_p1,loss_p2
0,0,0.38,0.5,0.21,0.01,,,,,
1,1,0.77,0.5,0.67,0.16,0.554,0.0,18.67,0.14428550948699315,0.1563984212776025
2,2,0.96,0.0,0.81,0.3,0.5,0.001,16.937,0.14945049967616794,0.15871805399656294
3,3,0.85,0.5,0.73,0.18,0.499,0.002,17.56,0.14355170150101185,0.14612636849284172
4,4,0.88,1.0,0.7,0.17,0.4660000000000001,0.002,16.802,0.1421082269474864,0.1467408335208893
5,5,0.81,1.0,0.78,0.18,0.517,0.003,17.982,0.1475451860278845,0.14842984350770713
6,6,0.87,0.5,0.82,0.34,0.543,0.0,16.927,0.14810923850536348,0.1552886537835002
7,7,0.93,1.0,0.71,0.22,0.505,0.001,17.12,0.14525887028872966,0.15406952915340666
8,8,0.9,0.5,0.81,0.32,0.517,0.002,17.035999999999998,0.1515179414972663,0.1588868434280157
9,9,0.86,0.5,0.76,0.25,0.528,0.002,16.477999999999998,0.15408273819833995,0.16311391461640595
10,10,0.85,0.0,0.75,0.24,0.5070000000000001,0.002,16.822,0.14645670110732315,0.15418380343914032
11,11,0.9,0.5,0.73,0.24,0.5139999999999999,0.001,16.889,0.15650558353960514,0.16296058397740126
12,12,0.9,0.0,0.76,0.21,0.47100000000000003,0.0,16.633,0.1490925737246871,0.15553828126192093
13,13,0.8,0.5,0.74,0.34,0.52,0.003,17.117,0.14589007996767758,0.16485044736415147
14,14,0.91,0.5,0.89,0.21,0.542,0.0,16.962,0.1460375806465745,0.15895973890274764
15,15,0.93,1.0,0.8,0.26,0.557,0.002,17.254,0.1528729271069169,0.15895460058748725
16,16,0.89,1.0,0.78,0.14,0.525,0.0,16.403,0.15320858756452801,0.16003166151046752
17,17,0.91,0.0,0.76,0.27,0.48300000000000004,0.001,16.895,0.15470052919536828,0.16490532967448235
18,18,0.86,1.0,0.65,0.2,0.45899999999999996,0.004,17.178,0.1481706060245633,0.15669775718450546
19,19,0.93,1.0,0.75,0.25,0.4769999999999999,0.0,16.049,0.1506201873421669,0.17320530745387078
20,20,0.76,0.0,0.67,0.24,0.502,0.003,17.188,0.15857151681929826,0.1690376491099596
21,21,0.92,1.0,0.8,0.35,0.523,0.0,17.403,0.15380028878897428,0.16941647309064864
22,22,0.86,0.0,0.7,0.18,0.49,0.001,16.048,0.15685603449493646,0.16607087115198374
23,23,0.94,0.0,0.81,0.27,0.49200000000000005,0.001,16.322,0.16242934366315606,0.16743830325454473
24,24,0.9,0.0,0.8,0.24,0.48600000000000004,0.003,16.725,0.16301794225722552,0.18134642264992
25,25,0.87,1.0,0.82,0.26,0.512,0.0,17.055999999999997,0.15790612065047024,0.1717247247546911
26,26,0.9,1.0,0.7,0.3,0.523,0.003,17.158,0.16280275550484655,0.17865606714785098
27,27,0.91,1.0,0.87,0.34,0.5,0.003,16.792,0.15032846749573947,0.16344825883209704
28,28,0.89,0.5,0.8,0.2,0.49299999999999994,0.0,16.319000000000003,0.16009721778333186,0.171572837844491
29,29,0.82,0.5,0.83,0.28,0.536,0.001,17.276,0.15666561920195818,0.17444016356021164
30,30,0.87,0.0,0.78,0.27,0.47400000000000003,0.001,16.631,0.15938147544115785,0.17561492244154214
31,31,0.89,0.5,0.81,0.22,0.48600000000000004,0.0,16.496,0.1658187457025051,0.18153874100744724
32,32,0.89,0.5,0.75,0.17,0.49200000000000005,0.001,16.69,0.1618296488970518,0.17603430378437046
33,33,0.92,1.0,0.84,0.29,0.49,0.001,16.707,0.1634787249714136,0.1710860265865922
34,34,0.89,0.5,0.76,0.35,0.499,0.003,16.863,0.15866538982838393,0.16545500563830134
35,35,0.91,1.0,0.81,0.21,0.48000000000000004,0.001,16.7,0.16669045294821264,0.16962013793736694
36,36,0.9,0.5,0.78,0.19,0.484,0.002,16.57,0.17568942038714885,0.1777480369731784
37,37,0.95,0.5,0.8,0.43,0.5139999999999999,0.002,16.892,0.16352101134508848,0.16875078330934049
38,38,0.94,0.0,0.86,0.27,0.5009999999999999,0.001,16.791,0.16723801895976068,0.17140863307565452
39,39,0.89,1.0,0.87,0.28,0.48700000000000004,0.002,17.621,0.16923714593797926,0.17444270642101764
40,40,0.89,1.0,0.85,0.22,0.49699999999999994,0.003,16.409000000000002,0.1716185297295451,0.1834803098514676
41,41,0.96,1.0,0.77,0.17,0.508,0.0,17.3,0.16525003550201656,0.17567460177093744
42,42,0.93,0.5,0.82,0.38,0.552,0.003,16.875999999999998,0.16565957206487655,0.17281004202365874
43,43,0.92,1.0,0.82,0.39,0.475,0.001,17.046,0.1635193004012108,0.18176065450906756
44,44,0.97,1.0,0.87,0.42,0.46099999999999997,0.001,16.373,0.17784761210530994,0.17708307119458913
45,45,0.96,1.0,0.84,0.43,0.465,0.003,16.945,0.17463536342978478,0.1752127403691411
46,46,0.9,1.0,0.85,0.4,0.44400000000000006,0.004,16.944000000000003,0.1751173235476017,0.17759684629738332
47,47,0.97,1.0,0.87,0.33,0.509,0.003,16.840999999999998,0.1728388864994049,0.17875949142128228
48,48,0.95,1.0,0.9,0.43,0.462,0.001,16.88,0.17504618798196314,0.1800289003625512
49,49,0.92,1.0,0.87,0.45,0.425,0.003,17.081,0.1706731901988387,0.1801060283854604
50,50,0.91,0.5,0.89,0.38,0.44800000000000006,0.0,16.51,0.17789961555600167,0.18237705460190773
51,51,0.89,1.0,0.81,0.25,0.47600000000000003,0.001,16.762,0.1897393016666174,0.1923820844516158
52,52,0.96,1.0,0.86,0.34,0.43799999999999994,0.002,16.794,0.18480609150230884,0.1898492018729448
53,53,0.96,1.0,0.91,0.44,0.472,0.0,17.13,0.1740938442796469,0.17592969730496408
54,54,0.96,0.5,0.88,0.45,0.505,0.002,16.625,0.1762552459090948,0.1841855672299862
55,55,0.97,0.5,0.94,0.54,0.482,0.001,16.374000000000002,0.18149099525809287,0.19003956136852504
56,56,0.96,1.0,0.86,0.41,0.499,0.002,17.363,0.1844868058860302,0.18552008052915334
57,57,1.0,1.0,0.82,0.35,0.49200000000000005,0.005,16.695999999999998,0.19398869761079549,0.19990303129702808
58,58,0.96,1.0,0.88,0.28,0.55,0.003,16.928,0.1830870353281498,0.18332638252526526
59,59,0.91,1.0,0.9,0.21,0.45899999999999996,0.0,17.361,0.17955114205181602,0.19115620080381632
60,60,0.99,1.0,0.85,0.33,0.48500000000000004,0.001,17.9,0.18318715450912715,0.18315570159256456
61,61,0.94,1.0,0.88,0.38,0.49,0.002,17.434,0.1873884005621076,0.1907178028076887
62,62,0.97,0.5,0.91,0.6,0.49699999999999994,0.001,16.444000000000003,0.18076128094643354,0.18660689620673654
63,63,0.93,1.0,0.83,0.43,0.47600000000000003,0.006,17.399,0.1822805756554008,0.1832150736898184
64,64,0.96,1.0,0.88,0.41,0.472,0.001,16.945999999999998,0.18907880076020955,0.1971196840107441
65,65,0.97,1.0,0.91,0.5,0.542,0.002,16.665,0.18237405493110415,0.1866735529154539
