,training_round,random,left,lvl1,lvl2,wins_p1,ties,game_length,loss_p1,loss_p2
0,0,0.32,1.0,0.17,0.01,,,,,
1,1,0.81,0.0,0.6,0.21,0.537,0.001,20.437,0.1283633557128582,0.14123137113295894
2,2,0.75,0.5,0.6,0.23,0.5099999999999999,0.002,19.945,0.12405096190050245,0.13860545476526026
3,3,0.79,0.5,0.52,0.21,0.5,0.001,19.487000000000002,0.13048414275050166,0.1342218731343746
4,4,0.77,1.0,0.58,0.2,0.504,0.001,19.735,0.13181084264814855,0.13208757018297912
5,5,0.9,0.0,0.72,0.1,0.48899999999999993,0.001,19.335,0.1336142474934459,0.1374579691439867
6,6,0.78,0.0,0.7,0.13,0.49299999999999994,0.006,19.247,0.13009390673786406,0.13610158881545067
7,7,0.85,0.0,0.55,0.06,0.5,0.0,19.024,0.134232135809958,0.13296845569834112
8,8,0.78,0.5,0.54,0.07,0.5070000000000001,0.0,18.595,0.13722734841704368,0.1445636605322361
9,9,0.88,1.0,0.59,0.26,0.495,0.004,18.766,0.13761551516875625,0.13977412666380407
10,10,0.92,0.5,0.79,0.2,0.504,0.0,17.974,0.1444974003508687,0.14290781345963474
11,11,0.85,0.5,0.73,0.33,0.482,0.002,18.283,0.13554795809090134,0.1420442963540554
12,12,0.82,0.5,0.71,0.16,0.48700000000000004,0.002,17.83,0.14405921599268914,0.1505097226575017
13,13,0.86,0.5,0.68,0.21,0.4940000000000001,0.0,17.88,0.1401528167799115,0.15950930029153826
14,14,0.86,0.5,0.66,0.28,0.503,0.0,17.793,0.14447069376707078,0.15516945403069254
15,15,0.87,0.0,0.72,0.25,0.5059999999999999,0.002,17.775,0.14466540493071078,0.15611407022923232
16,16,0.84,0.5,0.7,0.24,0.508,0.002,17.729,0.1447819067016244,0.15692914806306366
17,17,0.9,0.5,0.72,0.27,0.491,0.0,17.151,0.13786731776595115,0.1496243856549263
18,18,0.81,1.0,0.51,0.17,0.47100000000000003,0.003,18.011,0.14336790323257445,0.1571225774437189
19,19,0.84,0.5,0.69,0.2,0.49,0.001,17.209,0.15148155189305545,0.1659341629371047
20,20,0.9,0.0,0.65,0.19,0.482,0.002,17.031,0.15051543445140125,0.16032060251384975
21,21,0.85,0.0,0.79,0.16,0.49800000000000005,0.002,16.598,0.14924322763830422,0.16494886299967765
22,22,0.83,0.0,0.72,0.16,0.495,0.004,16.925,0.1490610479414463,0.1649490456134081
23,23,0.87,1.0,0.72,0.23,0.46699999999999997,0.001,16.593,0.1500483215302229,0.1652923869639635
24,24,0.92,0.5,0.75,0.22,0.4680000000000001,0.001,16.752,0.1543542887493968,0.1826989318430424
