,training_round,random,left,lvl1,lvl2,wins_p1,ties,game_length,loss_p1,loss_p2
0,0,0.44,0.0,0.15,0.1,,,,,
1,1,0.15,0.0,0.06,0.02,0.155,0.003,20.442999999999998,0.23491731479763986,0.2528924571996717
2,2,0.23,0.0,0.16,0.01,0.0,0.0,12.312000000000001,0.02499754021071919,0.02941659792003208
3,3,0.24,0.0,0.12,0.02,0.047,0.0,15.093,0.1435012571225678,0.12030099468494328
4,4,0.27,0.0,0.13,0.0,0.0,0.0,19.426,0.009642429972397318,0.008238551440905323
5,5,0.46,1.0,0.28,0.02,0.147,0.0,19.483,0.199633203253248,0.1882997838523695
6,6,0.53,0.0,0.34,0.17,0.288,0.004,17.866,0.32459958927938715,0.30561657988333274
7,7,0.3,0.5,0.12,0.09,0.42800000000000005,0.001,25.453000000000003,0.3314736251448912,0.35002462394655715
8,8,0.55,0.0,0.29,0.17,0.5,0.017,22.697,0.3851279754627932,0.3909167720537101
9,9,0.41,1.0,0.2,0.09,0.503,0.01,24.149,0.3749127501653413,0.3767855074415859
10,10,0.69,0.0,0.34,0.21,0.491,0.012,18.415,0.4258058332716641,0.4540571128220662
11,11,0.46,0.0,0.14,0.09,0.49,0.001,18.787,0.451271371308126,0.4524631481617689
12,12,0.67,0.5,0.41,0.04,0.5139999999999999,0.0,13.005999999999998,0.5404304248183521,0.5404214778942849
13,13,0.72,0.5,0.61,0.14,0.86,0.0,10.312000000000001,0.4237524482764696,0.5928514431107719
14,14,0.76,1.0,0.64,0.03,0.5,0.0,8.0,0.6765243591264237,0.7511860631233038
15,15,0.81,0.0,0.63,0.03,0.605,0.008,12.380999999999998,0.4846354505190482,0.5294441796140745
16,16,0.66,1.0,0.49,0.02,0.408,0.054000000000000006,23.458000000000002,0.3536142706211689,0.3365348627609489
17,17,0.55,1.0,0.37,0.03,0.338,0.022,21.274,0.3797972079796287,0.39629395214735336
18,18,0.79,1.0,0.6,0.16,0.9369999999999999,0.0,13.615,0.1818796588388616,0.4812647327780724
19,19,0.75,1.0,0.54,0.24,1.0,0.0,13.082,0.012954789385928409,0.20159463313492865
20,20,0.75,1.0,0.65,0.22,1.0,0.0,12.5,0.0024699184091400298,0.03145740250305784
21,21,0.74,1.0,0.66,0.22,1.0,0.0,12.5,0.0012696211247135009,0.02251069516771369
