,training_round,random,left,lvl1,lvl2,wins_p1,ties,game_length,loss_p1,loss_p2
0,0,0.61,0.5,0.37,0.28,,,,,
1,1,0.68,0.5,0.33,0.23,0.47400000000000003,0.020999999999999998,22.94,0.1419283983094858,0.14506688974647514
2,2,0.74,0.0,0.62,0.25,0.46099999999999997,0.006,21.559,0.16073369934409856,0.1565344819277525
3,3,0.75,0.0,0.57,0.06,0.38699999999999996,0.005,18.816,0.153825457919389,0.14947564090043305
4,4,0.84,0.0,0.48,0.14,0.41500000000000004,0.007000000000000001,20.796999999999997,0.15284829557687046,0.15406272890791298
5,5,0.82,0.0,0.7,0.25,0.45199999999999996,0.007000000000000001,20.18,0.15871829971671106,0.16389159625396132
6,6,0.79,1.0,0.48,0.21,0.48700000000000004,0.006,22.723000000000003,0.16736211532354356,0.1615944650620222
7,7,0.77,0.0,0.63,0.17,0.458,0.0,20.55,0.15128656379133462,0.15127767234295605
8,8,0.84,1.0,0.72,0.16,0.533,0.009,19.793,0.1824642746672034,0.18382725256681445
9,9,0.91,0.5,0.78,0.42,0.673,0.008,21.685,0.14950681302323934,0.15057652739807964
10,10,0.81,1.0,0.73,0.27,0.677,0.009,23.256999999999998,0.14298329896479844,0.14735671062394975
11,11,0.91,1.0,0.71,0.3,0.49200000000000005,0.016,21.221999999999998,0.1642151425369084,0.16222482703253627
12,12,0.89,1.0,0.64,0.19,0.47600000000000003,0.017,23.62,0.15939387110620734,0.15782530102133752
13,13,0.84,1.0,0.69,0.18,0.519,0.005,21.955,0.15918984009325504,0.17055349469929934
14,14,0.84,0.0,0.75,0.19,0.526,0.007000000000000001,20.642,0.16998717818409206,0.1692819055840373
15,15,0.86,0.5,0.68,0.31,0.53,0.002,19.448,0.1693601529635489,0.17302499563246965
16,16,0.79,0.0,0.6,0.15,0.5009999999999999,0.008,22.47,0.18062957146018746,0.18267568640410897
17,17,0.91,0.0,0.74,0.18,0.38499999999999995,0.007000000000000001,19.799,0.1797403457388282,0.17383987341076135
18,18,0.9,0.0,0.78,0.27,0.531,0.002,20.209,0.1456615098528564,0.1483124893847853
19,19,0.8,0.5,0.71,0.27,0.49299999999999994,0.008,20.61,0.17915099070966245,0.17509818720817566
20,20,0.88,0.5,0.69,0.41,0.564,0.024,21.908,0.1660214647948742,0.15873852521926166
21,21,0.92,0.5,0.65,0.22,0.638,0.013000000000000001,22.124000000000002,0.167035240188241,0.15966990084946156
22,22,0.89,1.0,0.74,0.29,0.598,0.016,25.803,0.1653455948382616,0.15493639846891166
23,23,0.85,1.0,0.63,0.3,0.52,0.011,23.008000000000003,0.16014543091505765,0.15350806374102832
24,24,0.9,0.5,0.67,0.16,0.6219999999999999,0.009,22.598000000000003,0.17027395207434892,0.16378046309947966
25,25,0.97,1.0,0.8,0.29,0.6219999999999999,0.011,25.544,0.14679095584154128,0.145613003898412
26,26,0.86,1.0,0.82,0.28,0.522,0.013000000000000001,21.405,0.17010718904435634,0.16823460075259208
27,27,0.93,0.5,0.8,0.29,0.45,0.019,22.831,0.1798337376266718,0.17373728530108928
28,28,0.91,0.5,0.76,0.33,0.541,0.02,23.719,0.16951692198961973,0.16386177358031273
29,29,0.78,0.5,0.62,0.24,0.43799999999999994,0.015000000000000001,24.496,0.16846872862428428,0.156762380361557
30,30,0.87,0.5,0.66,0.25,0.48600000000000004,0.02,22.233,0.18319728036969896,0.16838814628869295
31,31,0.88,0.5,0.71,0.35,0.543,0.009,21.374000000000002,0.16446806335076689,0.1604409890472889
32,32,0.9,0.5,0.82,0.28,0.47300000000000003,0.004,18.886,0.18500525134801865,0.17601976967602967
33,33,0.91,1.0,0.86,0.41,0.595,0.006,18.958,0.15405054948851465,0.14711425549164414
34,34,0.92,1.0,0.82,0.42,0.45999999999999996,0.011,24.070999999999998,0.15991985163092612,0.1535527101829648
35,35,0.99,1.0,0.87,0.49,0.642,0.005,22.924,0.13690551265329126,0.1405012659393251
36,36,0.93,1.0,0.81,0.35,0.528,0.01,22.122,0.15082033600099384,0.14262341052293778
37,37,0.96,1.0,0.9,0.35,0.513,0.006,22.072,0.17021459075808526,0.16066405126079916
38,38,0.93,1.0,0.82,0.23,0.49200000000000005,0.008,23.16,0.1597151710689068,0.14857558699697254
39,39,0.96,1.0,0.78,0.34,0.495,0.006,21.997,0.1652140412032604,0.1607478867508471
40,40,0.88,1.0,0.75,0.28,0.426,0.003,20.683000000000003,0.17082609070837498,0.1661303927525878
41,41,0.81,1.0,0.75,0.16,0.512,0.007000000000000001,23.079,0.17398881307989358,0.16293332871049646
42,42,0.84,0.5,0.74,0.27,0.5059999999999999,0.005,21.969,0.17751578267663715,0.1695778378173709
43,43,0.98,0.0,0.89,0.41,0.551,0.001,18.305999999999997,0.13871383095905185,0.131936687014997
44,44,0.96,0.5,0.92,0.41,0.625,0.004,18.789,0.13691641638055446,0.13944845672324302
45,45,0.92,1.0,0.84,0.18,0.584,0.002,20.794,0.18316344287246467,0.18170884896814826
46,46,0.88,1.0,0.84,0.34,0.455,0.002,21.858,0.1914985603764653,0.1886372612565756
47,47,0.97,1.0,0.91,0.26,0.535,0.012,22.055,0.16519366505742072,0.16402743554487825
48,48,0.93,0.0,0.66,0.2,0.576,0.002,19.995,0.17132491020858287,0.1691669364757836
49,49,0.97,0.0,0.85,0.35,0.606,0.01,21.375,0.19335341823846106,0.18507908572256565
50,50,0.94,0.0,0.89,0.25,0.5269999999999999,0.013000000000000001,21.535999999999998,0.16865037562325594,0.16190842616930606
51,51,0.92,0.5,0.8,0.31,0.634,0.025,22.3,0.15222517318837345,0.1455371476057917
52,52,0.96,0.5,0.79,0.34,0.41100000000000003,0.007000000000000001,24.377,0.1426694368943572,0.13686562487110496
53,53,0.92,0.5,0.77,0.33,0.596,0.009,22.91,0.13358939871937034,0.1363944107443094
54,54,0.87,0.5,0.74,0.44,0.47300000000000003,0.014000000000000002,23.671999999999997,0.17754894726723433,0.16964077100902794
55,55,0.83,0.0,0.73,0.12,0.567,0.007000000000000001,23.603,0.18948954237252474,0.1816627756357193
56,56,0.97,0.5,0.83,0.38,0.547,0.008,23.752,0.16477711525186894,0.15860083627700805
57,57,0.87,0.5,0.82,0.33,0.40199999999999997,0.007000000000000001,21.502,0.17700241248309612,0.16623997820168734
58,58,0.92,0.5,0.81,0.37,0.607,0.012,20.59,0.16840936579555274,0.16641235933825374
59,59,0.95,0.5,0.89,0.47,0.589,0.001,21.785999999999998,0.18226848996803166,0.17584100569039582
60,60,0.94,0.5,0.9,0.39,0.43,0.01,21.713,0.19799068723618984,0.1956926092877984
61,61,0.85,0.5,0.74,0.39,0.388,0.01,24.445,0.1551585978195071,0.15282834439724685
62,62,0.97,1.0,0.81,0.33,0.39,0.017999999999999995,24.041999999999998,0.151754118360579,0.1547000421099365
63,63,0.97,0.5,0.81,0.57,0.488,0.008,22.539,0.17199250318855047,0.16780436981841926
64,64,0.95,0.0,0.8,0.38,0.618,0.052000000000000005,24.488000000000003,0.14442150437273085,0.14229480016976595
65,65,0.9,0.5,0.79,0.47,0.589,0.020999999999999998,24.967,0.16122269601747394,0.1632650530822575
66,66,0.93,0.5,0.77,0.51,0.746,0.023,26.026,0.1137101657614112,0.1105737361367792
67,67,0.96,1.0,0.85,0.51,0.64,0.02,24.414,0.14297042242437602,0.14127282690256834
68,68,0.93,0.5,0.89,0.32,0.508,0.007000000000000001,24.57,0.15738077311590315,0.14672970074415204
69,69,0.94,1.0,0.84,0.44,0.433,0.020999999999999998,27.961,0.14202079783566296,0.13879304932057854
70,70,0.94,0.5,0.78,0.45,0.25699999999999995,0.033,29.351,0.12499508505873383,0.1141239699171856
71,71,0.91,0.5,0.81,0.47,0.35,0.075,29.236,0.13543771931529044,0.12516216150671244
72,72,0.89,0.5,0.78,0.5,0.681,0.013000000000000001,23.186,0.1024532027458772,0.10080363923683762
73,73,0.95,0.5,0.87,0.54,0.583,0.019,22.156,0.1608458741493523,0.15096058502420784
74,74,0.94,0.5,0.74,0.52,0.484,0.035,27.035,0.1621257435902953,0.1576093534976244
75,75,0.98,0.5,0.89,0.46,0.53,0.015000000000000001,22.214000000000002,0.1622510426789522,0.15546358377858996
76,76,0.93,0.5,0.9,0.53,0.762,0.020999999999999998,20.337,0.10097380608599632,0.10567589535657317
77,77,0.89,0.5,0.87,0.49,0.715,0.05,26.27,0.1034832350127399,0.10219100958108902
78,78,0.94,0.5,0.81,0.51,0.878,0.002,23.436,0.07863770991937417,0.07070923794954206
79,79,0.95,1.0,0.89,0.55,0.6389999999999999,0.011,23.44,0.14927073437348007,0.15044988734088838
80,80,0.91,1.0,0.94,0.43,0.725,0.006,22.070999999999998,0.14616866068169473,0.1509295382499695
81,81,0.85,1.0,0.66,0.44,0.654,0.025,24.932,0.15489335174672306,0.1528364851139486
82,82,0.95,1.0,0.85,0.55,0.542,0.009,23.519000000000002,0.1528092196714133,0.15059999960288406
83,83,0.95,1.0,0.92,0.46,0.719,0.006,26.734,0.126328818093054,0.12392165970057248
84,84,1.0,1.0,0.92,0.42,0.591,0.009,22.493000000000002,0.16422734367474914,0.17334637761116028
85,85,0.96,1.0,0.92,0.56,0.586,0.055,27.064,0.1341523672416806,0.1307451963815838
86,86,0.97,1.0,0.91,0.49,0.727,0.007000000000000001,27.215999999999998,0.1027920523621142,0.11424786038883032
87,87,0.92,1.0,0.9,0.51,0.621,0.035,26.371,0.15805888360366224,0.15406809360533952
88,88,0.96,1.0,0.89,0.55,0.592,0.046,26.373,0.14754381665214894,0.1400219520367682
89,89,0.96,1.0,0.91,0.48,0.577,0.005,27.041,0.16427303954213854,0.15983904219046235
90,90,0.94,1.0,0.89,0.57,0.58,0.041,25.115,0.1381544456630945,0.1371401854082942
91,91,0.9,1.0,0.83,0.46,0.606,0.004,21.456,0.16928187538683415,0.16773073502629995
92,92,0.91,1.0,0.88,0.64,0.6320000000000001,0.008,25.365,0.16155090000480413,0.16037986051663755
93,93,0.97,1.0,0.89,0.54,0.643,0.019,27.818,0.13824439393822105,0.13592154072225093
94,94,0.94,1.0,0.81,0.54,0.614,0.051,29.268,0.10854896731488407,0.1085458689313382
95,95,0.95,1.0,0.86,0.48,0.634,0.060000000000000005,30.965,0.1142563552800566,0.11357318747788668
96,96,0.95,1.0,0.89,0.36,0.636,0.027000000000000003,26.430999999999997,0.13579448094964028,0.13613244139775635
97,97,0.95,0.5,0.9,0.42,0.508,0.046,28.342,0.14432010728120806,0.13938756954669956
98,98,0.98,1.0,0.87,0.37,0.648,0.024,26.814,0.12971952476538715,0.12415298255905508
99,99,0.97,1.0,0.81,0.48,0.655,0.036,24.435,0.14586565737053753,0.1403640818670392
100,100,0.96,1.0,0.89,0.45,0.637,0.052000000000000005,26.859,0.11310588041413575,0.10631339440494776
