,training_round,random,left,lvl1,lvl2,wins_p1,ties,game_length,loss_p1,loss_p2
0,0,0.48,0.5,0.18,0.03,,,,,
1,1,0.69,0.0,0.47,0.05,0.48300000000000004,0.005,20.046,0.17135242432836564,0.16918068619747575
2,2,0.8,0.5,0.56,0.13,0.495,0.0,19.673,0.13285432690754534,0.12884963259845972
3,3,0.94,0.0,0.68,0.25,0.504,0.006,19.488,0.1313170421048999,0.12370563903823495
4,4,0.84,0.5,0.73,0.25,0.48000000000000004,0.0,19.282,0.12319949994981287,0.12033892856910824
5,5,0.84,0.5,0.65,0.29,0.48700000000000004,0.002,19.724,0.12187278500571845,0.1246438739337027
6,6,0.81,0.0,0.68,0.15,0.488,0.002,19.242,0.1193257412686944,0.12170139054208995
7,7,0.9,0.5,0.88,0.45,0.502,0.001,19.557000000000002,0.12149985609203574,0.1271827882528305
8,8,0.82,0.5,0.69,0.25,0.495,0.001,19.365,0.11837021800875665,0.12014716055244208
9,9,0.92,0.5,0.79,0.3,0.46900000000000003,0.002,18.908,0.12385380363836886,0.13114855121076108
10,10,0.88,0.5,0.68,0.3,0.49800000000000005,0.0,18.754,0.1266439711973071,0.13415956265479326
11,11,0.84,0.0,0.55,0.15,0.505,0.0,19.619,0.12688149864971635,0.13514115552604195
12,12,0.84,0.5,0.54,0.21,0.4769999999999999,0.001,19.185,0.13537846820801494,0.13668118530511855
13,13,0.84,0.5,0.77,0.3,0.49,0.002,19.391,0.13526234135776755,0.13924899764358994
14,14,0.84,0.5,0.73,0.19,0.505,0.0,18.963,0.12861278538405896,0.13914700572937727
15,15,0.89,0.5,0.78,0.42,0.529,0.002,19.573,0.13441872105002406,0.13618945858627554
16,16,0.87,0.5,0.77,0.24,0.491,0.002,19.327,0.13927271911501884,0.13757439593225718
17,17,0.89,0.0,0.77,0.22,0.47000000000000003,0.001,19.46,0.14444903780519966,0.13485437677800655
18,18,0.76,0.5,0.66,0.17,0.508,0.003,19.331,0.13555071321874854,0.13557830050587655
19,19,0.9,0.5,0.75,0.24,0.49299999999999994,0.005,19.272000000000002,0.1417487873956561,0.14631004152446986
20,20,0.94,1.0,0.81,0.19,0.531,0.001,18.945999999999998,0.13932577238231894,0.13915078171342612
21,21,0.83,0.5,0.64,0.16,0.49299999999999994,0.002,19.324,0.13616239868104454,0.13956086052954195
22,22,0.84,0.5,0.68,0.19,0.517,0.005,19.416,0.14136015359312296,0.1345428648367524
23,23,0.85,0.5,0.77,0.33,0.5059999999999999,0.0,19.514,0.1415334394350648,0.14358588304370642
24,24,0.92,0.5,0.79,0.22,0.518,0.001,19.322,0.14622342203557492,0.14981134793907405
25,25,0.85,0.0,0.74,0.24,0.5070000000000001,0.003,18.923,0.1469319531098008,0.1395191928371787
26,26,0.82,1.0,0.66,0.25,0.518,0.002,19.747,0.13985943388938904,0.13909015423804522
27,27,0.88,0.5,0.76,0.35,0.511,0.001,19.768,0.1378223468437791,0.1430554657652974
28,28,0.93,0.0,0.71,0.26,0.48500000000000004,0.003,19.694000000000003,0.14893260715156795,0.1461371788084507
29,29,0.91,0.0,0.74,0.3,0.548,0.005,19.077,0.1498376674056053,0.14916023582220078
30,30,0.91,0.5,0.76,0.22,0.511,0.003,19.492,0.1562486342936754,0.1484507521688938
31,31,0.91,0.5,0.81,0.49,0.5139999999999999,0.002,19.158,0.158110615208745,0.1548765742406249
32,32,0.85,0.0,0.62,0.18,0.504,0.002,19.047,0.1611586702093482,0.1536868739798665
33,33,0.91,0.5,0.79,0.23,0.49800000000000005,0.001,19.188,0.15403762941807508,0.15134972460567953
34,34,0.92,1.0,0.69,0.12,0.5009999999999999,0.002,19.059,0.15538809699565173,0.15079280269891024
35,35,0.89,1.0,0.65,0.27,0.523,0.003,18.928,0.1577710062265396,0.15581539757549762
36,36,0.88,0.5,0.76,0.29,0.502,0.0,18.904,0.15794717159867286,0.15778184373676776
37,37,0.83,0.5,0.62,0.25,0.502,0.002,18.829,0.15720899561047555,0.15247945770621302
38,38,0.92,0.5,0.72,0.31,0.529,0.002,19.412,0.15876195427775386,0.15556169518083335
39,39,0.9,0.5,0.73,0.31,0.5009999999999999,0.003,19.119,0.1638855475112796,0.16227295369654893
40,40,0.82,0.0,0.57,0.14,0.503,0.0,19.009,0.16257297003269194,0.15960116732865573
41,41,0.95,0.5,0.81,0.3,0.495,0.002,18.96,0.16426772568374873,0.165822516605258
42,42,0.93,0.5,0.81,0.43,0.472,0.003,19.171,0.16469721080362798,0.15624515513330695
43,43,0.89,0.5,0.6,0.19,0.48300000000000004,0.005,19.143,0.16176774472743272,0.1614314836859703
44,44,0.86,0.5,0.72,0.21,0.499,0.002,19.159000000000002,0.1673005018979311,0.16369703332334756
45,45,0.91,0.5,0.69,0.32,0.503,0.003,18.956,0.17483620335906744,0.17211034742742776
46,46,0.85,1.0,0.85,0.36,0.48899999999999993,0.002,18.952,0.1771684858724475,0.16622154533863068
47,47,0.87,0.0,0.7,0.19,0.537,0.002,19.337,0.170971652276814,0.1757107462435961
48,48,0.84,0.0,0.69,0.26,0.521,0.002,19.04,0.1721252145320177,0.17200032549351454
49,49,0.97,0.5,0.93,0.31,0.552,0.003,19.335,0.17173469182103873,0.1618190226405859
50,50,0.9,1.0,0.73,0.27,0.48500000000000004,0.004,19.25,0.1805888844653964,0.1701059293150902
51,51,0.87,0.5,0.66,0.21,0.5269999999999999,0.004,19.09,0.17814963022619487,0.16983263072371482
52,52,0.86,0.0,0.67,0.21,0.508,0.001,18.852,0.18316555950045585,0.1768999516516924
53,53,0.92,0.5,0.83,0.2,0.45999999999999996,0.001,18.67,0.1765853587910533,0.16993792939186098
54,54,0.88,0.5,0.81,0.28,0.4680000000000001,0.0,18.844,0.18180094458162785,0.17016469719260932
55,55,0.84,0.5,0.61,0.15,0.482,0.003,18.83,0.18863938258588314,0.17953050220012665
56,56,0.84,0.5,0.83,0.25,0.509,0.003,18.92,0.17514012250304226,0.18079790913313626
57,57,0.84,0.5,0.71,0.21,0.495,0.003,19.337,0.16965750160068274,0.17322594609111547
58,58,0.9,0.5,0.65,0.14,0.5,0.002,18.897000000000002,0.18537536273896693,0.17197315013408662
59,59,0.89,0.5,0.74,0.27,0.504,0.004,18.991,0.1820371171012521,0.16995134585350752
60,60,0.88,0.5,0.77,0.27,0.5099999999999999,0.002,18.895,0.18618984577059747,0.17114373123645782
61,61,0.89,0.5,0.72,0.29,0.523,0.002,19.234,0.18467432552576066,0.17301467180997132
62,62,0.96,0.5,0.83,0.47,0.521,0.006,19.004,0.1872127957195044,0.1715406253859401
63,63,0.84,0.5,0.75,0.41,0.5009999999999999,0.004,18.77,0.18208667574077844,0.18137851160764693
64,64,0.86,0.5,0.69,0.22,0.495,0.004,19.055,0.18600466927886009,0.1829876056164503
65,65,0.92,0.0,0.72,0.27,0.491,0.001,19.45,0.1803990812301636,0.17886261033266782
66,66,0.8,0.5,0.58,0.16,0.48300000000000004,0.002,19.36,0.17660256069153546,0.17492299576103687
67,67,0.92,0.5,0.67,0.22,0.488,0.001,18.708,0.18236869709193707,0.18526732578128574
68,68,0.87,1.0,0.7,0.21,0.47800000000000004,0.002,19.143,0.19193492821604013,0.17785155387222767
69,69,0.85,1.0,0.78,0.38,0.512,0.007000000000000001,19.339000000000002,0.1881631994396448,0.19780311934649944
70,70,0.92,0.5,0.72,0.24,0.502,0.003,18.95,0.19435188069939613,0.18069752094894648
71,71,0.89,0.5,0.81,0.37,0.4940000000000001,0.003,19.055,0.19587306867539886,0.18290239060670135
72,72,0.83,0.5,0.76,0.26,0.518,0.001,19.434,0.18968640626966954,0.17202749666571618
73,73,0.91,0.5,0.83,0.26,0.4940000000000001,0.004,19.079,0.1804654715806246,0.1776888573691249
74,74,0.9,0.5,0.68,0.27,0.496,0.006,19.447,0.18822820262610912,0.1793198508247733
75,75,0.78,0.5,0.73,0.24,0.521,0.002,19.347,0.1942166166231036,0.1896319229155779
76,76,0.77,0.5,0.73,0.32,0.509,0.0,18.733,0.18552423777431248,0.18037368677556515
77,77,0.9,0.5,0.81,0.43,0.499,0.004,18.987000000000002,0.19493948352336884,0.1801771736741066
78,78,0.85,1.0,0.71,0.18,0.49800000000000005,0.001,19.054000000000002,0.1991581271663308,0.18660895434767008
79,79,0.95,0.0,0.82,0.25,0.5009999999999999,0.003,18.893,0.19339810840040444,0.18408755437284707
80,80,0.82,0.0,0.72,0.32,0.511,0.002,18.917,0.1881197570487857,0.1906795580387116
81,81,0.83,0.5,0.73,0.13,0.49800000000000005,0.003,18.771,0.20784997951239348,0.19693631145358087
82,82,0.7,0.5,0.64,0.12,0.536,0.004,19.364,0.1870664754137397,0.1868650772795081
83,83,0.94,0.5,0.83,0.39,0.526,0.003,19.113,0.19441934596002106,0.18397834448516368
84,84,0.87,0.5,0.75,0.39,0.499,0.004,18.995,0.20038265676051376,0.18853372002393007
85,85,0.91,0.5,0.76,0.38,0.491,0.001,18.819000000000003,0.2048309162929654,0.1915116838142276
86,86,0.88,0.5,0.79,0.14,0.524,0.002,18.680999999999997,0.19640589326620106,0.20014906883984804
87,87,0.87,1.0,0.72,0.28,0.481,0.001,18.945999999999998,0.19845598001033068,0.1903677412122488
88,88,0.9,0.5,0.83,0.32,0.508,0.003,19.52,0.19035229350626467,0.19200877145677805
89,89,0.88,0.5,0.69,0.32,0.48500000000000004,0.0,19.167,0.19553315989673134,0.1976765621230006
90,90,0.82,0.5,0.6,0.24,0.5070000000000001,0.002,19.070999999999998,0.204893230073154,0.20127187103778124
91,91,0.79,0.0,0.77,0.17,0.496,0.003,19.535999999999998,0.19514215479046107,0.1896436219587922
92,92,0.94,0.5,0.85,0.5,0.49,0.003,19.131,0.19789640597999092,0.1965892894938588
93,93,0.86,0.5,0.68,0.18,0.5009999999999999,0.002,18.963,0.2132852226048708,0.19420384438335891
94,94,0.94,0.5,0.8,0.37,0.536,0.004,18.917,0.2033243158236146,0.20017368832975627
95,95,0.84,0.5,0.81,0.2,0.502,0.002,18.512999999999998,0.21728350748866795,0.2025851297751069
96,96,0.96,0.5,0.75,0.27,0.4940000000000001,0.006,19.39,0.2072347637489438,0.2001954816505313
97,97,0.88,0.5,0.82,0.29,0.49800000000000005,0.003,18.596,0.2160661890655756,0.2034390252530575
98,98,0.97,0.5,0.84,0.41,0.49,0.0,19.268,0.19766549491882324,0.1912681210786104
99,99,0.89,0.5,0.74,0.31,0.5009999999999999,0.001,19.066,0.19559910428524016,0.19255778118222952
100,100,0.96,0.5,0.81,0.41,0.541,0.001,18.892,0.20514221657812595,0.2033273160159588
