,training_round,random,left,lvl1,lvl2,wins_p1,ties,game_length,loss_p1,loss_p2
0,0,0.58,0.5,0.24,0.1,,,,,
1,1,0.75,1.0,0.42,0.09,0.491,0.002,19.886,0.16590969172126102,0.15944977691086942
2,2,0.76,0.0,0.6,0.25,0.48600000000000004,0.003,19.622,0.13549549429118632,0.1376422023102641
3,3,0.89,0.0,0.73,0.34,0.515,0.003,19.054000000000002,0.1267324979044497,0.12609901251643896
4,4,0.9,0.0,0.76,0.22,0.48500000000000004,0.001,19.296,0.12179549562558532,0.12126331020519138
5,5,0.83,0.5,0.58,0.31,0.511,0.001,19.239,0.1225957209058106,0.12597453447058796
6,6,0.84,0.5,0.57,0.17,0.509,0.004,19.02,0.1237701730839908,0.12306533892452715
7,7,0.93,0.0,0.66,0.25,0.495,0.001,19.367,0.1294307599849999,0.12520399452745914
8,8,0.93,0.5,0.78,0.28,0.481,0.001,19.065,0.12585764357447626,0.12153773951157927
9,9,0.83,0.5,0.67,0.25,0.511,0.004,19.25,0.12665969210863112,0.12758495748788118
10,10,0.83,0.0,0.7,0.25,0.512,0.001,19.118,0.12858534305542707,0.12390298913791775
11,11,0.9,0.5,0.58,0.27,0.5139999999999999,0.002,19.215,0.12874465898796916,0.12244396083801985
12,12,0.87,0.5,0.7,0.14,0.504,0.001,18.926,0.13632024136185647,0.1295288307517767
13,13,0.8,0.5,0.76,0.17,0.538,0.001,19.032,0.132136347938329,0.1280068500228226
14,14,0.87,0.5,0.79,0.39,0.508,0.0,18.77,0.13427382761612536,0.13192635937780142
15,15,0.91,0.0,0.76,0.26,0.482,0.0,18.892,0.1351656036451459,0.13163740172237154
16,16,0.85,0.5,0.7,0.3,0.48899999999999993,0.005,18.942999999999998,0.13618707222491502,0.13484477792680266
17,17,0.87,1.0,0.76,0.25,0.52,0.005,18.964000000000002,0.1382723250389099,0.13765038245171307
18,18,0.89,1.0,0.76,0.23,0.508,0.004,19.089000000000002,0.1345646233409643,0.1383639665991068
19,19,0.93,0.5,0.83,0.16,0.535,0.001,19.368,0.14283037903904916,0.13595070897042752
20,20,0.88,0.5,0.72,0.26,0.49200000000000005,0.003,18.91,0.14084571175277233,0.135387491568923
21,21,0.77,0.5,0.59,0.08,0.5,0.003,19.377,0.13809321634471414,0.14111961261928085
22,22,0.85,0.0,0.65,0.4,0.5059999999999999,0.003,19.332,0.14082536786049604,0.1398724665865302
23,23,0.91,0.5,0.71,0.18,0.519,0.003,19.171,0.14540475344657894,0.1468139940723777
24,24,0.9,0.5,0.68,0.26,0.5059999999999999,0.003,19.331,0.14794053295999765,0.1446233325228095
25,25,0.8,0.5,0.72,0.23,0.508,0.003,18.985,0.15103673339635135,0.14574890206754207
26,26,0.85,0.0,0.73,0.18,0.513,0.002,18.93,0.15788588112592694,0.1399791241362691
27,27,0.86,0.5,0.73,0.24,0.5009999999999999,0.003,18.623,0.14638765216618774,0.14715624206513167
28,28,0.91,0.5,0.69,0.31,0.49699999999999994,0.003,19.425,0.14845098453760147,0.14549966990947724
29,29,0.91,0.5,0.82,0.36,0.5099999999999999,0.001,18.51,0.14934384458512068,0.14617126817256212
30,30,0.82,0.5,0.7,0.14,0.48700000000000004,0.001,19.248,0.14599116600304846,0.14923385863751173
31,31,0.89,0.5,0.74,0.37,0.49,0.001,19.574,0.15333182548731564,0.15392812058329586
32,32,0.96,0.0,0.84,0.22,0.49800000000000005,0.006,18.944000000000003,0.1528100821748376,0.1479272254779935
33,33,0.86,0.5,0.74,0.21,0.46699999999999997,0.001,18.656,0.1518959529325366,0.15019177281856536
34,34,0.93,0.5,0.87,0.45,0.499,0.003,19.054000000000002,0.15455677995830774,0.15661144095659255
35,35,0.91,0.5,0.82,0.27,0.49299999999999994,0.001,19.271,0.16271046960353852,0.1622027589455247
36,36,0.91,0.5,0.82,0.29,0.534,0.003,18.753,0.16116872791945935,0.15850989897549153
37,37,0.83,0.5,0.66,0.25,0.532,0.007000000000000001,19.088,0.16168229818344115,0.15753512996435165
38,38,0.91,0.5,0.8,0.23,0.47800000000000004,0.003,19.262,0.1687843214869499,0.15261256185173988
39,39,0.81,0.5,0.7,0.31,0.502,0.0,19.11,0.16451760764420031,0.15273559622466565
40,40,0.92,0.5,0.78,0.25,0.528,0.002,18.952,0.16800088457018136,0.15607560870051385
41,41,0.87,0.5,0.78,0.25,0.524,0.002,19.227,0.16753163939714433,0.16091545321792364
42,42,0.92,0.5,0.79,0.2,0.49699999999999994,0.002,19.377,0.16279583774507045,0.15282950486987829
43,43,0.92,0.5,0.72,0.26,0.5070000000000001,0.002,18.746,0.16169874742627144,0.16411262958496808
44,44,0.81,0.5,0.8,0.27,0.49299999999999994,0.001,19.325,0.16349334263801574,0.15600915341079236
45,45,0.9,0.5,0.65,0.19,0.48700000000000004,0.001,18.649,0.17046335220336914,0.16140622656047346
46,46,0.82,0.0,0.7,0.31,0.532,0.002,19.033,0.16508906637877227,0.1532944278717041
47,47,0.9,0.5,0.69,0.34,0.52,0.001,18.869,0.17140984953194854,0.1568855569809675
48,48,0.92,0.5,0.78,0.21,0.523,0.001,18.886,0.1745207996815443,0.1608015372157097
49,49,0.84,0.5,0.75,0.33,0.49299999999999994,0.002,18.92,0.17632035729289056,0.17092448752373454
50,50,0.78,0.0,0.6,0.23,0.49800000000000005,0.0,18.752,0.16936759980022909,0.16882991570234301
51,51,0.72,0.0,0.71,0.29,0.481,0.002,19.386,0.16921673633903264,0.16462765701860188
52,52,0.86,0.0,0.65,0.26,0.513,0.002,18.991,0.1733637588918209,0.1647893676608801
53,53,0.9,0.5,0.79,0.38,0.503,0.002,18.758,0.17532450901716948,0.17498080438375474
54,54,0.88,0.5,0.78,0.24,0.504,0.001,18.705,0.16857520411908627,0.1610023706778884
55,55,0.92,0.5,0.82,0.39,0.491,0.002,18.995,0.17377178610116242,0.17166325828433038
56,56,0.91,0.5,0.69,0.27,0.48899999999999993,0.003,18.837,0.17321146655082706,0.17464851096272468
57,57,0.88,0.5,0.76,0.46,0.5,0.003,18.963,0.17731432434171435,0.17428990986943246
58,58,0.94,0.5,0.71,0.27,0.519,0.002,19.148,0.16874754316359758,0.1640567204132676
59,59,0.85,0.5,0.81,0.3,0.49299999999999994,0.001,18.86,0.17954232066869735,0.17405739729106426
60,60,0.89,0.5,0.8,0.23,0.5099999999999999,0.003,19.201,0.18709016051143407,0.18107071101665495
61,61,0.85,1.0,0.72,0.22,0.504,0.0,18.637999999999998,0.1975499228462577,0.1863826335594058
62,62,0.85,0.5,0.74,0.42,0.4660000000000001,0.002,19.229,0.1836608410179615,0.17761621667444705
63,63,0.93,0.0,0.78,0.28,0.541,0.005,19.38,0.16738597986847162,0.18286012882739305
64,64,0.82,0.0,0.77,0.18,0.521,0.001,18.77,0.17808143065869808,0.18635558373481034
65,65,0.83,0.5,0.8,0.46,0.48899999999999993,0.004,18.916,0.19473026019334794,0.17714647372812034
66,66,0.92,0.5,0.8,0.43,0.525,0.0,19.067,0.18884113290905952,0.17720678490400316
67,67,0.86,0.0,0.76,0.29,0.4940000000000001,0.001,19.4,0.17916301602870227,0.17928750432282686
68,68,0.93,0.5,0.83,0.23,0.52,0.002,18.507,0.18931626307219268,0.1801935924515128
69,69,0.79,0.5,0.62,0.16,0.5070000000000001,0.007000000000000001,19.084,0.1844967673793435,0.18027699360996485
70,70,0.94,0.5,0.77,0.19,0.49800000000000005,0.0,18.91,0.19299945391714574,0.17620156428217887
71,71,0.85,0.0,0.57,0.18,0.513,0.002,19.118,0.18371588984876872,0.18092725387215614
72,72,0.93,0.5,0.72,0.22,0.537,0.002,18.884,0.19061076902598145,0.18375473768264056
73,73,0.86,0.5,0.66,0.2,0.4769999999999999,0.002,19.346,0.18709894249588246,0.1862309992611408
74,74,0.88,0.5,0.77,0.29,0.5,0.001,19.182000000000002,0.18766029252111915,0.1965134802684188
75,75,0.9,0.5,0.8,0.38,0.47300000000000003,0.003,18.961,0.2020943664163351,0.19938369159400465
