,training_round,random,left,lvl1,lvl2,wins_p1,ties,game_length,loss_p1,loss_p2
0,0,0.67,1.0,0.53,0.06,,,,,
1,1,0.87,0.5,0.85,0.26,0.4680000000000001,0.005,17.907,0.18168079380986665,0.17860216958832886
2,2,0.74,0.5,0.55,0.17,0.491,0.0,17.709,0.15083592072874308,0.14478344406932592
3,3,0.85,0.5,0.71,0.31,0.46900000000000003,0.002,17.04,0.1424188637137413,0.13684545232355594
4,4,0.8,0.0,0.6,0.31,0.462,0.004,18.244,0.1329302681311965,0.13640361902117729
5,5,0.93,1.0,0.8,0.34,0.475,0.004,18.131,0.12942918764054775,0.1344153986647725
6,6,0.91,0.5,0.74,0.22,0.504,0.002,17.704,0.1408751189261675,0.13762013433873654
7,7,0.88,0.0,0.88,0.33,0.47300000000000003,0.004,16.932000000000002,0.13787753679603335,0.13354859265685082
8,8,0.85,0.5,0.78,0.21,0.46099999999999997,0.004,17.598,0.1356030988395214,0.1457223754376173
9,9,0.92,0.5,0.69,0.37,0.49,0.0,17.382,0.13997188359498974,0.1413821363300085
10,10,0.91,0.5,0.76,0.24,0.518,0.002,17.479,0.1409582372829318,0.1419575991332531
11,11,0.85,0.5,0.77,0.26,0.496,0.003,16.548,0.14708992896974088,0.1434691247269511
12,12,0.83,0.0,0.7,0.2,0.5059999999999999,0.001,17.709,0.1384577985778451,0.14132356645166874
13,13,0.83,0.5,0.75,0.3,0.495,0.003,17.163,0.14856286154687404,0.14787870512902734
14,14,0.88,0.5,0.72,0.29,0.528,0.002,17.301,0.1364974812157452,0.14507857497036458
15,15,0.88,0.5,0.84,0.22,0.517,0.002,16.745,0.15087336990237235,0.1484576592296362
16,16,0.88,0.0,0.63,0.22,0.512,0.001,17.279,0.15045150338858365,0.15080354849994182
17,17,0.84,0.5,0.67,0.25,0.46699999999999997,0.001,17.115,0.14670845065265894,0.1545193649083376
18,18,0.85,0.5,0.7,0.26,0.48600000000000004,0.004,17.756,0.1434205315336585,0.15160768016427756
19,19,0.91,0.5,0.83,0.33,0.516,0.003,17.784000000000002,0.14890170012414455,0.156477383248508
20,20,0.86,0.5,0.8,0.36,0.525,0.001,17.195999999999998,0.1549510277286172,0.15817277219891548
21,21,0.86,0.5,0.63,0.2,0.46699999999999997,0.001,16.721,0.1484649293869734,0.14808214304596184
22,22,0.84,0.5,0.69,0.22,0.481,0.001,17.958,0.15467019110918045,0.15393571534752845
23,23,0.93,0.5,0.85,0.39,0.491,0.002,17.033,0.1560469052195549,0.15789397760480642
24,24,0.85,0.5,0.64,0.27,0.496,0.0,17.326,0.15444819071888924,0.15428586807101966
25,25,0.88,0.5,0.69,0.29,0.5059999999999999,0.002,18.016,0.15952888006716967,0.16294362172484395
26,26,0.94,0.5,0.82,0.26,0.541,0.005,17.635,0.15847061423957348,0.15716146133095027
27,27,0.9,0.0,0.81,0.3,0.516,0.001,18.18,0.15225372424721714,0.15898533498495818
28,28,0.83,1.0,0.77,0.26,0.472,0.003,17.384,0.15875473109632732,0.15831116841733456
29,29,0.83,0.5,0.72,0.35,0.5269999999999999,0.003,17.183,0.16287646090239286,0.17473231905698774
30,30,0.88,0.5,0.75,0.36,0.526,0.001,16.89,0.16658327923715113,0.1692108267620206
31,31,0.91,0.5,0.78,0.23,0.515,0.0,17.241,0.16853881411254407,0.16914500073343516
32,32,0.9,0.5,0.81,0.17,0.516,0.002,17.744,0.16031768324226142,0.16256081314384938
33,33,0.93,0.0,0.71,0.38,0.538,0.001,16.686,0.16847288981825112,0.17400113233178854
34,34,0.82,0.5,0.75,0.26,0.509,0.001,16.873,0.16678181128948927,0.1720687071532011
35,35,0.88,0.5,0.73,0.15,0.511,0.004,17.563,0.1695868283212185,0.175447723262012
36,36,0.9,0.5,0.79,0.23,0.48300000000000004,0.001,17.004,0.17621626346558333,0.17329735769331456
37,37,0.89,0.5,0.72,0.17,0.5009999999999999,0.002,17.55,0.16831472484022378,0.17096717258542776
38,38,0.77,0.5,0.62,0.28,0.504,0.001,17.872,0.1686069619730115,0.17631726583093404
39,39,0.86,0.5,0.81,0.26,0.524,0.001,17.3,0.17244859097898008,0.1778495663329959
40,40,0.94,0.5,0.77,0.18,0.508,0.0,17.112000000000002,0.16944035248458386,0.1708007271438837
41,41,0.88,0.0,0.82,0.27,0.47800000000000004,0.002,17.069000000000003,0.1741575449705124,0.16775832590460776
