,training_round,random,left,lvl1,lvl2,wins_p1,ties,game_length,loss_p1,loss_p2
0,0,0.25,0.0,0.08,0.02,,,,,
1,1,0.9,0.5,0.77,0.18,0.523,0.001,20.275,0.15645585488622182,0.15954167196395422
2,2,0.93,0.0,0.64,0.23,0.508,0.005,19.896,0.12512654287368058,0.1266818064637482
3,3,0.82,0.0,0.69,0.28,0.502,0.003,19.528,0.13844825156405569,0.1286211791858077
4,4,0.83,0.5,0.73,0.15,0.48899999999999993,0.003,19.325,0.1253931849002838,0.12206902112066745
5,5,0.89,0.5,0.83,0.24,0.49699999999999994,0.007000000000000001,19.524,0.12287374117225408,0.12067635810747745
6,6,0.83,0.5,0.71,0.28,0.508,0.002,18.632,0.12354793567955495,0.1291936881840229
7,7,0.78,0.5,0.58,0.21,0.515,0.001,19.025,0.12748250742256642,0.12156947395578027
8,8,0.81,0.5,0.67,0.24,0.515,0.004,18.994,0.12274537098407745,0.12023054385930301
9,9,0.78,0.0,0.59,0.21,0.47000000000000003,0.0,18.262,0.1324462387226522,0.13235305682569742
10,10,0.89,0.5,0.7,0.21,0.48700000000000004,0.001,18.39,0.1313551931530237,0.12751157242059707
11,11,0.9,0.5,0.65,0.23,0.48500000000000004,0.001,18.253,0.13436050352454185,0.13088255291059614
12,12,0.91,0.5,0.66,0.22,0.484,0.001,17.757,0.13511204256117346,0.1311718240454793
13,13,0.9,0.5,0.8,0.26,0.49299999999999994,0.0,17.811,0.14172393618524073,0.1304479811117053
14,14,0.87,0.5,0.76,0.3,0.499,0.002,17.757,0.14109648597240448,0.1364001550525427
15,15,0.86,0.5,0.74,0.19,0.522,0.001,18.129,0.1413998285755515,0.14513036192953588
16,16,0.88,0.0,0.7,0.24,0.4769999999999999,0.001,17.816,0.1362182117626071,0.1410858511030674
17,17,0.79,0.5,0.72,0.25,0.488,0.001,17.472,0.13677234928309914,0.13906998243927954
18,18,0.82,0.0,0.64,0.18,0.46699999999999997,0.003,17.51,0.14567491372674704,0.1506179573237896
19,19,0.88,0.5,0.72,0.24,0.45399999999999996,0.0,17.61,0.1470550342351198,0.14854343008995055
20,20,0.87,1.0,0.77,0.25,0.4660000000000001,0.0,17.118,0.15999212449789044,0.15273255737125874
21,21,0.92,0.0,0.75,0.12,0.499,0.002,16.949,0.1538071744441986,0.15556633996218444
22,22,0.83,1.0,0.65,0.17,0.505,0.0,17.261,0.15555847354978322,0.15892225170880556
23,23,0.89,1.0,0.79,0.2,0.508,0.0,16.746,0.15193812046945096,0.1551960852369666
24,24,0.9,0.5,0.79,0.21,0.4940000000000001,0.002,16.752,0.15413494109362366,0.15212922012805938
25,25,0.85,0.0,0.72,0.13,0.47800000000000004,0.003,17.298,0.15512530631572008,0.15853095181286336
26,26,0.83,0.5,0.77,0.16,0.48600000000000004,0.0,15.694,0.1628142378553748,0.17118932855129246
27,27,0.86,0.5,0.7,0.2,0.5070000000000001,0.003,17.04,0.15460059536993506,0.15702744921296835
28,28,0.81,1.0,0.51,0.17,0.482,0.001,16.604,0.15294426694512367,0.14831567391008138
29,29,0.86,0.5,0.7,0.29,0.509,0.003,16.609,0.15862302396446468,0.16577083647251128
30,30,0.91,1.0,0.8,0.12,0.495,0.0,16.355,0.15776830784231424,0.16759672670811415
31,31,0.85,0.5,0.84,0.26,0.509,0.001,16.774,0.15440461952984333,0.16973564606159924
32,32,0.91,0.0,0.77,0.2,0.5009999999999999,0.0,16.551,0.16731830425560473,0.1701504583954811
33,33,0.87,0.5,0.7,0.16,0.4680000000000001,0.002,17.153,0.16396593989431854,0.17310806567966938
34,34,0.91,0.0,0.74,0.24,0.5,0.001,16.256,0.17239521603286267,0.17832987672835587
35,35,0.82,0.0,0.8,0.33,0.48500000000000004,0.001,15.954,0.1707417988628149,0.1712639635205269
36,36,0.88,0.5,0.75,0.22,0.48500000000000004,0.001,16.018,0.18094667816907167,0.18439812668412925
37,37,0.89,0.5,0.79,0.32,0.496,0.0,16.312,0.16757778947800395,0.17389812491089104
38,38,0.93,0.5,0.85,0.26,0.513,0.0,16.047,0.17443963634967805,0.17158796438574792
39,39,0.86,1.0,0.63,0.16,0.53,0.003,16.686,0.1660274429395795,0.17385784177482128
40,40,0.91,0.5,0.86,0.25,0.53,0.003,16.383,0.16384671537578105,0.1738787481561303
41,41,0.85,0.0,0.71,0.24,0.529,0.002,16.605,0.1739679588675499,0.17972421696037055
42,42,0.83,1.0,0.77,0.27,0.47400000000000003,0.001,16.401,0.16822130622714754,0.1765578757971525
43,43,0.96,1.0,0.85,0.3,0.496,0.001,17.477,0.166497065089643,0.17350497335195542
44,44,0.86,0.0,0.63,0.18,0.45599999999999996,0.001,16.222,0.17295639514178038,0.17788413456827398
45,45,0.86,0.5,0.73,0.32,0.48000000000000004,0.004,16.56,0.16760924831032753,0.18164320316910745
46,46,0.98,0.5,0.88,0.23,0.49,0.002,16.469,0.18224964015185832,0.18274094276875255
47,47,0.93,1.0,0.76,0.39,0.5,0.002,17.442999999999998,0.17577132776379584,0.17478099858015775
48,48,0.84,1.0,0.59,0.25,0.47800000000000004,0.0,17.51,0.16873469563573598,0.17258729372918605
49,49,0.9,0.5,0.76,0.27,0.46399999999999997,0.0,16.788,0.18098375783115625,0.18519593889266253
50,50,0.94,1.0,0.83,0.35,0.49200000000000005,0.001,16.815,0.1756118692010641,0.18192994802445173
51,51,0.94,1.0,0.77,0.25,0.499,0.001,17.243,0.1830992953851819,0.1945397610515356
52,52,0.95,1.0,0.74,0.16,0.4940000000000001,0.0,16.656,0.1769807815030217,0.1787201689183712
53,53,0.92,0.0,0.82,0.33,0.4940000000000001,0.0,15.975999999999999,0.18236301619559525,0.18435945286601785
54,54,0.93,0.5,0.79,0.19,0.433,0.0,15.790999999999999,0.19089226762205366,0.18939912310242651
55,55,0.98,0.5,0.84,0.45,0.491,0.0,15.865,0.18841515702009198,0.1894726388901472
56,56,0.91,0.5,0.77,0.32,0.48700000000000004,0.002,16.428,0.18535554388165476,0.18385641357302665
57,57,0.93,0.5,0.77,0.32,0.48000000000000004,0.004,16.741,0.17953397543728353,0.18134877597540616
58,58,0.83,1.0,0.76,0.33,0.48899999999999993,0.005,16.913,0.1851141239926219,0.1864068402200937
59,59,0.91,1.0,0.72,0.18,0.45999999999999996,0.004,17.403,0.18157959394156933,0.17892269549518824
60,60,0.91,0.5,0.82,0.18,0.528,0.002,17.294,0.19018329951167107,0.1888193775638938
61,61,0.91,0.0,0.84,0.34,0.4680000000000001,0.002,16.683,0.18651641169935465,0.19339039854705334
62,62,0.95,0.5,0.82,0.51,0.4660000000000001,0.003,17.439,0.18720555255562066,0.19259120797365906
63,63,0.9,1.0,0.74,0.49,0.4680000000000001,0.005,17.952,0.17147155695408586,0.18208143036067487
64,64,0.97,0.5,0.91,0.42,0.479,0.002,17.032,0.1846532217860222,0.19357216903567315
65,65,0.91,1.0,0.85,0.3,0.47800000000000004,0.001,17.183,0.18253723354637624,0.19163618251681327
66,66,0.9,0.5,0.75,0.42,0.515,0.004,17.287,0.18065042755752805,0.18959796427190306
67,67,0.86,1.0,0.67,0.27,0.45099999999999996,0.003,17.843,0.18087941720336675,0.18008511228114366
68,68,0.97,0.5,0.92,0.33,0.437,0.003,18.090999999999998,0.18379897274822,0.1897310254201293
69,69,0.82,0.5,0.72,0.3,0.49800000000000005,0.002,17.454,0.19296702899038792,0.21196073880791666
70,70,0.8,0.5,0.73,0.2,0.511,0.003,17.23,0.19555743683874607,0.20286911154538392
71,71,0.97,1.0,0.79,0.42,0.45899999999999996,0.002,17.618,0.18607865802198648,0.20376838698238134
72,72,0.82,1.0,0.72,0.27,0.44100000000000006,0.002,16.328,0.19211996222287414,0.19463930598646406
73,73,0.87,1.0,0.7,0.3,0.491,0.002,16.582,0.1893276032283902,0.2003956803306937
74,74,0.84,0.0,0.8,0.3,0.43499999999999994,0.002,17.855,0.19214814887940884,0.19052038218826056
75,75,0.79,1.0,0.57,0.18,0.45399999999999996,0.006,17.16,0.19140116180479527,0.19843023027479648
76,76,0.86,0.0,0.68,0.28,0.44100000000000006,0.001,17.378,0.1913078847527504,0.1867984708622098
77,77,0.94,0.0,0.89,0.52,0.46299999999999997,0.003,17.232,0.20071421609818932,0.20438063330948356
78,78,0.94,1.0,0.81,0.4,0.465,0.003,17.727999999999998,0.20243311902880667,0.20164492587000127
79,79,0.94,1.0,0.82,0.42,0.429,0.002,18.41,0.1904610190242529,0.19539298041164874
80,80,0.92,1.0,0.83,0.31,0.508,0.001,18.032,0.19456242771446705,0.2035789565742016
81,81,0.91,0.5,0.86,0.42,0.48000000000000004,0.003,18.02,0.1922526116743684,0.1944361844882369
