,training_round,random,left,lvl1,lvl2,wins_p1,ties,game_length,loss_p1,loss_p2
0,0,0.64,0.0,0.34,0.14,,,,,
1,1,0.83,0.5,0.7,0.3,0.9939999999999999,0.0,6.754,0.07151847199565964,0.1066429546901158
2,2,0.74,0.5,0.67,0.27,1.0,0.0,6.5,0.0003997289270046167,0.0016761365080518382
3,3,0.81,0.5,0.62,0.22,1.0,0.0,6.5,5.0763965919031766e-05,0.00038700354086947347
4,4,0.81,0.5,0.65,0.23,1.0,0.0,6.5,2.92547026219836e-05,0.0002569004963983649
5,5,0.8,0.5,0.63,0.24,1.0,0.0,6.5,1.7965833239941276e-05,0.00017772193335558232
6,6,0.81,0.5,0.63,0.33,1.0,0.0,6.5,1.244028401288233e-05,0.00010717199558192598
7,7,0.79,0.5,0.63,0.29,1.0,0.0,6.5,6.3581235906440275e-06,4.431936903368778e-05
8,8,0.73,0.5,0.68,0.25,1.0,0.0,6.5,6.202736221894156e-06,9.692555210806727e-06
9,9,0.84,0.5,0.66,0.2,1.0,0.0,6.5,3.1729375052691466e-06,8.589689286128199e-07
10,10,0.86,0.5,0.6,0.24,1.0,0.0,6.5,3.733629689861573e-07,1.9867468787586926e-07
11,11,0.8,0.5,0.57,0.26,1.0,0.0,6.5,2.1799374145814453e-07,1.6851367443932225e-07
12,12,0.83,0.5,0.54,0.28,1.0,0.0,6.5,1.8420746599190356e-07,1.5206957674048945e-07
13,13,0.78,0.5,0.68,0.23,1.0,0.0,6.5,1.584506090779314e-07,1.3690482222393575e-07
14,14,0.81,0.5,0.65,0.37,1.0,0.0,6.5,1.33120375878093e-07,1.2334846997776238e-07
15,15,0.76,0.5,0.64,0.25,1.0,0.0,6.5,1.0752121717416684e-07,1.1129583591983807e-07
16,16,0.78,0.5,0.64,0.27,1.0,0.0,6.5,8.193786662502591e-08,1.0079620672760992e-07
17,17,0.79,0.5,0.68,0.34,1.0,0.0,6.5,5.7546895693150184e-08,9.143200766662374e-08
18,18,0.75,0.5,0.69,0.27,1.0,0.0,6.5,3.629281781769578e-08,8.382121914210343e-08
19,19,0.75,0.5,0.6,0.26,1.0,0.0,6.5,2.0048372517678104e-08,7.74377326706599e-08
20,20,0.76,0.5,0.57,0.21,1.0,0.0,6.5,9.538189116309325e-09,7.143514266391214e-08
21,21,0.75,0.5,0.65,0.25,1.0,0.0,6.5,3.8944851121769365e-09,6.580275047391688e-08
22,22,0.78,0.5,0.56,0.19,1.0,0.0,6.5,1.3817856192588352e-09,6.05606309153138e-08
23,23,0.76,0.5,0.61,0.32,1.0,0.0,6.5,4.371823902893368e-10,5.1922648631424246e-08
24,24,0.71,0.5,0.62,0.31,1.0,0.0,6.5,1.2972058288651666e-10,3.115174105600465e-08
25,25,0.78,0.5,0.62,0.29,1.0,0.0,6.5,4.081616017392875e-11,1.2538550401127882e-08
26,26,0.81,0.5,0.61,0.23,1.0,0.0,6.5,1.7318599072196906e-11,3.533979723237187e-09
27,27,0.77,0.5,0.57,0.31,1.0,0.0,6.5,1.2193295223332512e-11,1.9738290843055293e-09
28,28,0.81,0.5,0.57,0.27,1.0,0.0,6.5,1.201551033148951e-11,1.933124390954767e-09
29,29,0.77,0.5,0.58,0.23,1.0,0.0,6.5,1.2224901017703072e-11,1.7137619720156547e-09
30,30,0.82,0.5,0.61,0.26,1.0,0.0,6.5,1.1850881192175533e-11,2.4231146921476995e-09
31,31,0.8,0.5,0.63,0.23,1.0,0.0,6.5,1.1598558550228454e-11,2.2908754663105877e-09
32,32,0.79,0.5,0.58,0.25,1.0,0.0,6.5,1.1130787827898227e-11,2.0563365338533522e-09
33,33,0.75,0.5,0.64,0.25,1.0,0.0,6.5,1.1465415335892848e-11,4.177540979810601e-09
34,34,0.78,0.5,0.63,0.23,1.0,0.0,6.5,1.0856487258660565e-11,1.5003432197604864e-09
35,35,0.83,0.5,0.57,0.24,1.0,0.0,6.5,1.1401541061099862e-11,1.0202135206479772e-08
36,36,0.8,0.5,0.67,0.25,1.0,0.0,6.5,1.1192399871490233e-11,4.1059834959139563e-10
37,37,0.8,0.5,0.6,0.23,1.0,0.0,6.5,1.1430839434722894e-11,9.30505925168999e-09
38,38,0.74,0.5,0.58,0.21,1.0,0.0,6.5,1.120308735103742e-11,1.474880225149388e-09
