,training_round,random,left,lvl1,lvl2,wins_p1,ties,game_length,loss_p1,loss_p2
0,0,0.41,0.5,0.22,0.1,,,,,
1,1,0.89,0.0,0.71,0.28,0.44699999999999995,0.011,20.323,0.1425063510273604,0.1438969995384245
2,2,0.83,0.5,0.74,0.2,0.339,0.013000000000000001,21.585,0.14265741812437774,0.1346681440025568
3,3,0.78,0.0,0.5,0.07,0.309,0.017999999999999995,20.252,0.1457752718925476,0.1377846029624343
4,4,0.9,0.5,0.85,0.3,0.554,0.014000000000000002,21.025,0.1354080042541027,0.13608779475465416
5,5,0.84,0.0,0.75,0.39,0.537,0.017999999999999995,22.453000000000003,0.14128547078371048,0.14463621148467065
6,6,0.82,0.5,0.71,0.34,0.52,0.023,23.075,0.14372609925456345,0.13905558313429356
7,7,0.84,0.5,0.65,0.25,0.576,0.012,20.904,0.14422261573001746,0.14739796113222836
8,8,0.85,0.5,0.71,0.29,0.48700000000000004,0.02,23.535,0.14186217819154262,0.1413426868058741
9,9,0.88,0.5,0.73,0.31,0.482,0.017999999999999995,21.643,0.14439767033606768,0.14410929385945198
10,10,0.84,0.0,0.77,0.37,0.5009999999999999,0.009,22.680999999999997,0.14687185499072075,0.14687476280331613
11,11,0.83,0.5,0.73,0.43,0.462,0.02,22.055999999999997,0.1444351100102067,0.14617706529423596
12,12,0.89,0.5,0.66,0.34,0.61,0.011,22.89,0.13824266113340855,0.14363304381072522
13,13,0.86,0.5,0.75,0.18,0.54,0.012,23.412,0.1384897985048592,0.14588717715442182
14,14,0.88,0.5,0.81,0.29,0.524,0.012,22.878,0.13519991842657328,0.13602239932492374
15,15,0.78,0.5,0.43,0.34,0.505,0.02,22.401999999999997,0.15841582491993905,0.15679081025347116
16,16,0.83,0.5,0.77,0.54,0.49,0.023,23.509,0.13849633152410387,0.13811330144479872
17,17,0.7,0.5,0.65,0.22,0.511,0.015000000000000001,22.894000000000002,0.15853518422693014,0.1576001603528857
18,18,0.83,0.5,0.8,0.23,0.649,0.006,18.994,0.1594397513344884,0.1631278764680028
19,19,0.93,0.5,0.73,0.26,0.723,0.002,19.028,0.15706831301003696,0.1641701750308275
20,20,0.93,0.5,0.74,0.39,0.644,0.009,21.725,0.14943522065505385,0.156007625721395
21,21,0.85,0.5,0.71,0.25,0.49299999999999994,0.009,21.331,0.14776465053856372,0.15176231971383095
22,22,0.8,0.5,0.68,0.31,0.56,0.01,22.991,0.15167652263492346,0.14873810236528515
23,23,0.89,0.5,0.77,0.3,0.6320000000000001,0.009,21.903000000000002,0.15405065982416272,0.15305311235785485
24,24,0.87,1.0,0.72,0.3,0.581,0.004,21.785999999999998,0.14657689836621285,0.14064367484673854
25,25,0.89,0.5,0.75,0.3,0.426,0.003,23.028000000000002,0.1623163483068347,0.15669423532485965
26,26,0.8,0.5,0.56,0.15,0.541,0.004,20.775,0.17474378920346498,0.17785151708126068
27,27,0.89,0.5,0.61,0.13,0.587,0.008,20.421,0.15767274448648094,0.1654593507796526
28,28,0.88,1.0,0.62,0.22,0.512,0.004,21.076,0.1634343648701906,0.1588243661262095
29,29,0.82,0.5,0.64,0.27,0.49800000000000005,0.01,21.877,0.1631810174807906,0.16407154569029808
30,30,0.87,0.0,0.73,0.28,0.484,0.003,22.519000000000002,0.16011193380504846,0.15504063035175206
31,31,0.84,0.5,0.77,0.35,0.538,0.008,20.785999999999998,0.15429753514379266,0.15593499771505595
32,32,0.89,0.5,0.69,0.26,0.549,0.007000000000000001,21.590999999999998,0.16054644229635595,0.15666428887099024
33,33,0.77,0.5,0.66,0.24,0.44499999999999995,0.009,21.908,0.16511009848117827,0.15801534599810838
34,34,0.8,0.0,0.63,0.27,0.504,0.012,21.57,0.1661496087089181,0.1729559203311801
35,35,0.84,1.0,0.62,0.23,0.551,0.019,23.104,0.13708849311247467,0.1458750271834433
36,36,0.81,1.0,0.59,0.21,0.508,0.007000000000000001,21.575,0.15409440632164478,0.15624317829310894
37,37,0.82,0.0,0.67,0.19,0.571,0.004,21.256999999999998,0.15471944522485134,0.16208898844942451
38,38,0.83,0.0,0.73,0.21,0.496,0.006,21.94,0.1496397362574935,0.15317226323857905
39,39,0.87,1.0,0.66,0.32,0.538,0.009,21.018,0.15590654335916046,0.16644725781679154
40,40,0.92,0.5,0.7,0.29,0.567,0.008,20.070999999999998,0.14782617349550128,0.1519559542797506
41,41,0.86,0.5,0.67,0.24,0.504,0.001,18.692999999999998,0.17361414140462875,0.17594604969024658
42,42,0.85,0.5,0.62,0.18,0.443,0.004,21.163,0.17424038579314946,0.17713350734859706
43,43,0.88,0.5,0.68,0.26,0.482,0.003,20.102999999999998,0.15009209954738614,0.14911748656257987
44,44,0.7,0.0,0.48,0.16,0.49,0.01,22.079,0.1596078375764191,0.15756043492257596
45,45,0.85,0.5,0.76,0.19,0.523,0.011,22.901,0.13815581787005066,0.13796990721672772
46,46,0.87,0.0,0.69,0.15,0.465,0.008,22.155,0.16089395568519832,0.15473487532883884
47,47,0.81,0.0,0.6,0.26,0.48300000000000004,0.004,21.807,0.153195705357939,0.15735987744852897
48,48,0.89,0.5,0.75,0.34,0.45599999999999996,0.01,21.545,0.14003882443904878,0.1437753466349095
49,49,0.94,0.5,0.73,0.39,0.534,0.01,23.506999999999998,0.13754928728193044,0.1444643790870905
50,50,0.8,0.0,0.58,0.27,0.5,0.005,21.499000000000002,0.15118390367925166,0.147852683596313
51,51,0.87,0.0,0.68,0.27,0.386,0.014000000000000002,22.16,0.16292685080319644,0.168194514349103
52,52,0.9,0.0,0.77,0.28,0.516,0.009,22.46,0.16231085631623865,0.16145212191343308
53,53,0.91,0.5,0.73,0.28,0.48899999999999993,0.023,24.206999999999997,0.16790661804378032,0.15823968385532503
54,54,0.9,0.5,0.8,0.29,0.557,0.01,20.659000000000002,0.16526556934043765,0.16076474680751562
55,55,0.9,1.0,0.84,0.32,0.592,0.008,22.52,0.14674860583990812,0.1464650416597724
56,56,0.89,1.0,0.72,0.19,0.594,0.011,22.066,0.15969022050499915,0.15734675335884096
57,57,0.76,0.5,0.55,0.18,0.576,0.014000000000000002,22.11,0.1602558386847377,0.1559563683271408
58,58,0.76,1.0,0.54,0.2,0.44800000000000006,0.012,23.099,0.17563459365814926,0.1698078890889883
59,59,0.79,0.5,0.69,0.1,0.548,0.008,21.948,0.17966082912683487,0.17559576071053742
60,60,0.74,0.5,0.7,0.24,0.586,0.013000000000000001,23.086,0.17381900687515736,0.16482037046551706
61,61,0.82,1.0,0.61,0.2,0.496,0.016,23.034000000000002,0.16061896068602802,0.15421953696757554
62,62,0.74,1.0,0.73,0.37,0.596,0.013000000000000001,23.508000000000003,0.15277556230127812,0.1609222448989749
63,63,0.85,1.0,0.7,0.37,0.5269999999999999,0.009,21.819000000000003,0.15130419171229004,0.1447320818081498
64,64,0.75,1.0,0.53,0.24,0.543,0.005,22.416999999999998,0.15985294891893864,0.16056656632572416
65,65,0.88,0.5,0.76,0.18,0.587,0.004,20.778000000000002,0.16219858540594578,0.15727323518693448
66,66,0.92,0.5,0.74,0.31,0.576,0.006,21.151,0.15746458400040866,0.15966736268997192
67,67,0.73,1.0,0.63,0.2,0.515,0.002,23.087,0.1657194280847907,0.16326460322737693
68,68,0.86,0.5,0.62,0.25,0.568,0.008,22.721,0.15892426024749876,0.15413505255803467
69,69,0.88,1.0,0.65,0.35,0.5139999999999999,0.013000000000000001,22.865,0.16144361735135318,0.15809692554175853
70,70,0.77,0.0,0.59,0.17,0.576,0.012,21.62,0.17382863871753215,0.17688593608140946
71,71,0.81,1.0,0.64,0.32,0.538,0.011,21.901,0.1683977124504745,0.16938618499040606
72,72,0.85,0.5,0.7,0.38,0.612,0.011,22.024,0.1591059493124485,0.15869002310931682
73,73,0.85,0.5,0.68,0.31,0.5269999999999999,0.005,21.638,0.18192478363960984,0.17990464103221893
74,74,0.77,0.5,0.49,0.22,0.557,0.003,20.726,0.17285729843378067,0.1677351629883051
75,75,0.9,0.0,0.78,0.31,0.462,0.01,20.168,0.15841368648409845,0.15593330589681864
76,76,0.88,0.5,0.77,0.3,0.5740000000000001,0.004,19.537,0.1724711640253663,0.16961420144885778
77,77,0.97,1.0,0.79,0.32,0.575,0.004,18.918,0.16962448047846554,0.16383272487670186
78,78,0.84,1.0,0.73,0.28,0.484,0.012,22.276,0.16028038601577282,0.15709321158379316
79,79,0.85,0.5,0.71,0.29,0.488,0.008,22.58,0.15632038547098634,0.15877487804740667
80,80,0.85,1.0,0.66,0.22,0.383,0.007000000000000001,21.69,0.17085655654221776,0.1709948477335274
81,81,0.81,0.5,0.64,0.2,0.47100000000000003,0.009,20.299,0.16516520489752293,0.1721368580684066
82,82,0.81,1.0,0.78,0.37,0.586,0.015000000000000001,20.455,0.16276864808797836,0.1711243235617876
83,83,0.82,1.0,0.74,0.25,0.479,0.009,21.023000000000003,0.17461073072999714,0.1802189353108406
84,84,0.84,0.5,0.72,0.31,0.629,0.003,20.035,0.13877211089991032,0.14257428312301634
85,85,0.92,1.0,0.72,0.43,0.488,0.007000000000000001,22.57,0.15179882245510815,0.1539521524310112
86,86,0.87,0.0,0.71,0.28,0.5009999999999999,0.012,22.823,0.1467499004714191,0.15774209722876548
87,87,0.87,1.0,0.77,0.38,0.535,0.004,20.665,0.15386807744950054,0.15335313016735014
88,88,0.91,1.0,0.77,0.48,0.603,0.009,22.022,0.14812956430576746,0.15056183502823114
89,89,0.8,1.0,0.56,0.23,0.475,0.02,25.11,0.14563078352808953,0.15097203738242387
90,90,0.91,0.5,0.88,0.48,0.523,0.015000000000000001,23.381,0.16586527610570193,0.16031169355660674
91,91,0.92,1.0,0.83,0.41,0.465,0.013000000000000001,21.162,0.1629800008237362,0.1641152988150716
92,92,0.86,1.0,0.74,0.4,0.39399999999999996,0.007000000000000001,22.16,0.16433979208022356,0.16917671051621436
93,93,0.84,1.0,0.65,0.33,0.47100000000000003,0.022,23.195999999999998,0.17862592892348764,0.17886888754367827
94,94,0.92,0.5,0.75,0.34,0.4,0.01,22.544,0.1632651101052761,0.1667713695243001
95,95,0.89,0.5,0.69,0.44,0.552,0.014000000000000002,21.941,0.15313096246123314,0.16347850587219
96,96,0.82,0.5,0.68,0.28,0.47100000000000003,0.017,22.573,0.15144237506762148,0.15044845374301075
97,97,0.89,0.0,0.7,0.34,0.513,0.008,21.978,0.1659632703885436,0.16717803037539125
98,98,0.78,0.0,0.48,0.25,0.46099999999999997,0.002,21.221,0.17603427375853062,0.18178407851606607
99,99,0.87,0.5,0.61,0.31,0.38499999999999995,0.011,23.195999999999998,0.16878206409513952,0.17459590411186218
100,100,0.83,0.0,0.69,0.29,0.5,0.006,20.701999999999998,0.1791157557144761,0.1972173189818859
