,training_round,random,left,lvl1,lvl2,wins_p1,ties,game_length,loss_p1,loss_p2
0,0,0.4,0.0,0.07,0.0,,,,,
1,1,0.64,0.0,0.4,0.05,0.48700000000000004,0.002,20.508000000000003,0.15221067364778249,0.159063087265578
2,2,0.86,0.5,0.76,0.23,0.503,0.004,20.116,0.12284928704425692,0.12480897913500667
3,3,0.82,1.0,0.61,0.31,0.49699999999999994,0.004,19.665,0.12515023939311504,0.12101917974278333
4,4,0.76,0.5,0.63,0.22,0.5009999999999999,0.001,19.157,0.12468370682373645,0.12336964810267093
5,5,0.76,0.0,0.58,0.13,0.523,0.002,19.402,0.1252613015063107,0.1366426367163658
6,6,0.87,1.0,0.72,0.14,0.53,0.003,19.595,0.12490536130219697,0.13685696736723185
7,7,0.77,0.5,0.65,0.29,0.502,0.001,19.705,0.12782996436953545,0.1363725643828511
8,8,0.78,0.5,0.61,0.13,0.499,0.006,19.544,0.1318802084028721,0.13256234066933392
9,9,0.75,0.5,0.65,0.16,0.49299999999999994,0.003,19.493,0.1366106025390327,0.13562745347619054
10,10,0.73,0.5,0.57,0.17,0.513,0.001,19.066,0.1327931362055242,0.1339019509330392
11,11,0.81,0.5,0.56,0.19,0.48500000000000004,0.006,19.574,0.12940167492628096,0.12608811665326358
12,12,0.87,0.0,0.76,0.3,0.48700000000000004,0.001,19.692,0.13537861159443856,0.12932659336924554
13,13,0.75,0.5,0.55,0.21,0.48700000000000004,0.002,19.706,0.12773569891601802,0.1290792042464018
14,14,0.82,0.0,0.71,0.36,0.49299999999999994,0.003,19.528,0.13070570226758718,0.12871211496740578
15,15,0.79,0.0,0.51,0.17,0.523,0.001,19.44,0.1334055739492178,0.12948878906667233
16,16,0.77,0.5,0.66,0.26,0.503,0.001,19.447,0.12894201761484145,0.1295553893521428
17,17,0.85,0.0,0.65,0.26,0.496,0.0,19.6,0.130744199950248,0.12828354628384114
18,18,0.74,0.0,0.45,0.08,0.505,0.005,19.757,0.13119285319000482,0.131207632035017
19,19,0.81,0.5,0.66,0.1,0.509,0.001,18.847,0.13960793609172106,0.13890357663109898
20,20,0.81,0.5,0.66,0.19,0.5009999999999999,0.004,19.499000000000002,0.13769629739969969,0.1346740231588483
21,21,0.85,0.5,0.71,0.19,0.5070000000000001,0.001,19.03,0.13751830661296846,0.13641832990199326
