,training_round,random,left,lvl1,lvl2,wins_p1,ties,game_length,loss_p1,loss_p2
0,0,0.41,0.5,0.28,0.03,,,,,
1,1,0.71,0.5,0.64,0.18,0.5099999999999999,0.002,19.864,0.15154841657273102,0.15668528478904642
2,2,0.91,0.5,0.74,0.29,0.502,0.002,19.546,0.12959314339607955,0.12941280128806829
3,3,0.92,0.0,0.68,0.33,0.523,0.002,19.167,0.12313775960355995,0.12353808208554982
4,4,0.76,0.0,0.56,0.1,0.48700000000000004,0.002,19.137999999999998,0.12718040842935446,0.12637455685436724
5,5,0.87,0.5,0.68,0.41,0.513,0.003,19.327,0.12761276806890964,0.13209331181645392
6,6,0.82,0.5,0.56,0.21,0.52,0.002,19.486,0.130390699647367,0.14046816819161176
7,7,0.88,0.0,0.74,0.26,0.519,0.004,19.474,0.13003278720006348,0.1335181844756007
8,8,0.89,0.5,0.75,0.32,0.4769999999999999,0.001,19.043,0.12533085003495215,0.14682232480496168
9,9,0.9,0.5,0.64,0.13,0.5009999999999999,0.002,19.118,0.13354307341575622,0.1342985070683062
10,10,0.83,0.5,0.58,0.29,0.48700000000000004,0.002,18.919,0.14034728103131056,0.141508207924664
11,11,0.81,0.5,0.71,0.29,0.502,0.002,19.124000000000002,0.13796530390530826,0.1429602586105466
12,12,0.91,0.5,0.79,0.22,0.5059999999999999,0.002,19.16,0.134815774127841,0.1415834434106946
13,13,0.71,1.0,0.55,0.17,0.535,0.001,18.97,0.133764374576509,0.13954568044096233
14,14,0.74,0.0,0.58,0.18,0.48500000000000004,0.0,18.919,0.13750540237128733,0.13814719907194375
15,15,0.88,0.5,0.68,0.26,0.499,0.006,19.205,0.1380714222341776,0.14109586373716593
16,16,0.88,0.0,0.73,0.21,0.5269999999999999,0.002,19.077,0.14027812116593122,0.14222221994400025
17,17,0.8,0.0,0.6,0.18,0.496,0.001,19.214000000000002,0.13625146535038948,0.1437561911791563
18,18,0.86,0.5,0.72,0.21,0.513,0.0,18.811,0.13537342923879622,0.14024874096736312
19,19,0.78,0.5,0.63,0.2,0.511,0.003,19.242,0.14164762575179338,0.14150253695249554
20,20,0.83,0.0,0.63,0.15,0.513,0.0,18.765,0.14562513221800327,0.14067115428298713
21,21,0.83,0.0,0.63,0.28,0.49699999999999994,0.002,19.147000000000002,0.14956154688447715,0.14837175188213586
22,22,0.86,0.5,0.63,0.19,0.515,0.004,18.868,0.14031286848336458,0.14447258197516202
