,training_round,random,left,lvl1,lvl2,wins_p1,ties,game_length,loss_p1,loss_p2
0,0,0.53,0.5,0.32,0.05,,,,,
1,1,0.73,0.5,0.72,0.2,0.488,0.002,18.296,0.16281256372428904,0.16014749949628654
2,2,0.94,0.5,0.84,0.4,0.47300000000000003,0.002,17.632,0.1431541252993047,0.13712582233920692
3,3,0.85,0.5,0.68,0.36,0.48700000000000004,0.0,17.339000000000002,0.14130643182992936,0.1366231151819229
4,4,0.87,0.0,0.7,0.24,0.5,0.001,17.199,0.13425551087781787,0.13864858532696964
5,5,0.84,0.5,0.75,0.25,0.4940000000000001,0.003,16.744,0.1464009480625391,0.13925885764881968
6,6,0.95,0.5,0.87,0.42,0.48000000000000004,0.002,17.546,0.14188282433897256,0.1361134316585958
7,7,0.85,0.0,0.67,0.33,0.46900000000000003,0.004,16.736,0.15328455235064029,0.14839983551204206
8,8,0.87,0.5,0.78,0.29,0.541,0.001,17.314,0.13603789272904396,0.14382861042022704
9,9,0.89,0.0,0.77,0.14,0.5,0.004,17.405,0.14884233950823544,0.14974068943411112
10,10,0.81,0.0,0.57,0.12,0.479,0.001,17.185,0.14186932522803544,0.14802683122456073
11,11,0.76,0.5,0.61,0.12,0.46699999999999997,0.004,17.836,0.1461279056146741,0.1469083742648363
12,12,0.79,1.0,0.56,0.08,0.44,0.003,17.026,0.14733783184736968,0.14519134213030338
13,13,0.81,0.5,0.74,0.18,0.46900000000000003,0.004,16.436,0.1470862477570772,0.14818106503784656
14,14,0.84,1.0,0.69,0.13,0.4570000000000001,0.001,16.827,0.15195883519202472,0.1543604643717408
15,15,0.91,0.5,0.61,0.23,0.4680000000000001,0.004,16.964000000000002,0.1526529789790511,0.15307052215933803
16,16,0.88,1.0,0.7,0.16,0.45599999999999996,0.003,17.032,0.15129721465706825,0.15481128262728452
17,17,0.85,1.0,0.67,0.19,0.424,0.003,16.924,0.15168902491778136,0.14638748724758624
18,18,0.85,0.5,0.68,0.19,0.479,0.001,17.015,0.15337636928260326,0.14990091895312072
19,19,0.88,0.5,0.7,0.25,0.45999999999999996,0.004,17.346,0.15193713276833296,0.1544105045720935
20,20,0.64,0.5,0.51,0.22,0.48899999999999993,0.002,17.202,0.15332214526832105,0.15815717393904924
21,21,0.89,0.5,0.86,0.37,0.482,0.002,16.538,0.1572846448197961,0.15932111124694348
22,22,0.83,1.0,0.67,0.32,0.528,0.003,17.25,0.16171918430179358,0.16034246899932622
23,23,0.84,1.0,0.67,0.17,0.496,0.004,17.451,0.1557839735671878,0.16210004197061062
24,24,0.84,0.5,0.73,0.19,0.504,0.002,17.017,0.1531853319182992,0.15376518454402685
25,25,0.85,1.0,0.82,0.33,0.481,0.004,16.727999999999998,0.1594839685857296,0.15717418390512464
26,26,0.83,0.0,0.77,0.1,0.504,0.001,17.407,0.1555350897014141,0.16416859786957502
27,27,0.76,1.0,0.61,0.24,0.5059999999999999,0.003,16.846,0.15416107984632255,0.16237413747608662
28,28,0.92,0.0,0.78,0.15,0.518,0.001,16.525,0.16901242198050026,0.16467691472917795
29,29,0.92,0.5,0.83,0.3,0.531,0.001,16.137999999999998,0.16554881102591756,0.16871603471040725
30,30,0.87,0.0,0.65,0.15,0.502,0.002,15.869000000000002,0.17616105556488038,0.176138381421566
31,31,0.84,0.5,0.74,0.24,0.4660000000000001,0.0,16.174,0.17019761838763953,0.16811671775579454
32,32,0.94,0.5,0.77,0.35,0.525,0.002,16.503,0.16434342357516288,0.17025493343174458
33,33,0.95,0.5,0.85,0.29,0.521,0.002,16.336,0.16439859146624802,0.16854570818692444
34,34,0.78,0.5,0.7,0.16,0.49200000000000005,0.002,16.199,0.16873151708394288,0.17453032422810796
35,35,0.89,1.0,0.78,0.23,0.46099999999999997,0.002,16.666,0.16587288736551997,0.16438935371488336
36,36,0.95,1.0,0.82,0.3,0.503,0.0,16.415,0.16258410063385964,0.16488677223026751
37,37,0.89,0.5,0.72,0.2,0.488,0.0,16.658,0.16149591471254826,0.16740731640905146
38,38,0.82,0.5,0.72,0.25,0.46900000000000003,0.001,17.032,0.1675595426633954,0.16580246155709027
39,39,0.84,1.0,0.7,0.17,0.45,0.001,16.512,0.16676826982200146,0.17101209576427934
40,40,0.9,1.0,0.77,0.26,0.48500000000000004,0.001,15.984000000000002,0.17907309963554144,0.17741425269842148
41,41,0.84,1.0,0.88,0.37,0.526,0.001,15.575,0.18431410427391529,0.18925061658769848
42,42,0.91,1.0,0.85,0.23,0.481,0.001,16.849,0.16700955902040004,0.17440667194128034
43,43,0.91,0.5,0.84,0.32,0.43499999999999994,0.0,16.137,0.16098054356873034,0.16779129862040282
44,44,0.93,0.5,0.88,0.37,0.49299999999999994,0.002,16.757,0.16993561237305402,0.17493212996423246
45,45,0.9,1.0,0.73,0.37,0.4680000000000001,0.003,16.368,0.1762405927181244,0.17706962229311465
46,46,0.93,1.0,0.85,0.23,0.525,0.0,17.267,0.18025676686316727,0.17720677587389946
47,47,0.9,1.0,0.72,0.24,0.45399999999999996,0.001,16.795,0.1656817826926708,0.17406275672465565
48,48,0.85,0.5,0.82,0.33,0.524,0.002,16.725,0.18257711859792472,0.18769411965459584
49,49,0.87,0.5,0.75,0.24,0.433,0.001,16.025,0.174800361931324,0.18380569252371787
50,50,0.87,1.0,0.79,0.22,0.46900000000000003,0.007000000000000001,17.439,0.17545653607696296,0.1721894761547446
51,51,0.86,0.5,0.73,0.3,0.5099999999999999,0.002,17.178,0.1815761245489121,0.18665643806755544
