,training_round,random,left,lvl1,lvl2,wins_p1,ties,game_length,loss_p1,loss_p2
0,0,0.41,0.0,0.1,0.01,,,,,
1,1,0.68,1.0,0.48,0.07,0.47800000000000004,0.002,20.06,0.1528585806504012,0.16228587480051626
2,2,0.82,0.0,0.74,0.28,0.488,0.001,19.893,0.13024679141491652,0.13248320351541046
3,3,0.84,0.0,0.68,0.21,0.505,0.003,19.872,0.12333989636600018,0.12740292647108434
4,4,0.81,0.5,0.62,0.29,0.5139999999999999,0.002,19.495,0.1226976271905005,0.11763026200979948
5,5,0.84,0.5,0.71,0.26,0.503,0.003,19.569000000000003,0.13301114754378796,0.12501453445106744
6,6,0.77,0.5,0.68,0.2,0.515,0.002,19.195,0.1359414804764092,0.1269322982877493
7,7,0.83,0.0,0.73,0.26,0.513,0.0,18.747,0.13190762270987033,0.13037553200125696
8,8,0.8,0.5,0.65,0.21,0.49800000000000005,0.002,18.814,0.13342631851881742,0.13231639846414328
9,9,0.86,0.5,0.59,0.17,0.525,0.001,18.874000000000002,0.14040153843909506,0.13460628870502114
10,10,0.84,0.5,0.71,0.21,0.488,0.002,18.451,0.13456983076781034,0.13217006125673653
11,11,0.75,0.5,0.59,0.21,0.499,0.003,18.877,0.13838989137113095,0.13490956471860407
12,12,0.9,0.5,0.72,0.17,0.511,0.002,18.577,0.13786106792837385,0.13718141850084067
13,13,0.91,0.0,0.77,0.28,0.5549999999999999,0.002,18.352999999999998,0.13742430948093534,0.1370613338947296
14,14,0.78,0.0,0.67,0.16,0.504,0.0,18.006,0.13863374908268453,0.1386541338711977
15,15,0.84,0.5,0.61,0.17,0.54,0.001,17.76,0.1477200926616788,0.14199085053801536
16,16,0.85,0.5,0.68,0.2,0.509,0.002,17.730999999999998,0.14508156498521566,0.14379473277181387
17,17,0.84,0.0,0.73,0.21,0.5059999999999999,0.002,17.704,0.1423534242734313,0.1460122271925211
18,18,0.92,0.0,0.65,0.27,0.524,0.001,17.675,0.14011133437603712,0.14276956666633486
19,19,0.8,0.0,0.72,0.23,0.462,0.001,17.454,0.15315871293842792,0.15274403634667394
20,20,0.71,0.0,0.58,0.09,0.4940000000000001,0.003,17.308,0.15076744738593698,0.14981222031265498
