,training_round,random,left,lvl1,lvl2,wins_p1,ties,game_length,loss_p1,loss_p2
0,0,0.39,0.5,0.18,0.05,,,,,
1,1,0.72,0.0,0.69,0.21,0.724,0.004,15.485999999999999,0.4455510077149242,0.4258169856352302
2,2,0.51,1.0,0.37,0.08,0.543,0.015000000000000001,21.275,0.3873947172497327,0.3922839120316964
3,3,0.64,0.5,0.37,0.27,0.522,0.025,26.301,0.3320270958356559,0.3368784435211666
4,4,0.7,1.0,0.49,0.31,0.502,0.041,26.641,0.26583614294918684,0.27475044861785136
5,5,0.6,0.0,0.36,0.14,0.586,0.057999999999999996,24.039,0.3064731703593563,0.31123823491085706
6,6,0.54,0.0,0.3,0.05,0.512,0.015000000000000001,16.495,0.4526422490321455,0.4256891382925482
7,7,0.58,0.0,0.34,0.09,0.775,0.008,16.851,0.3068785597296322,0.3148716941296336
8,8,0.54,0.0,0.22,0.05,0.54,0.004,17.479,0.4507487246936018,0.4539028594548674
9,9,0.59,0.0,0.27,0.0,0.006,0.0,7.446000000000001,0.2471919199630905,0.2740962584238415
10,10,0.65,0.0,0.42,0.0,0.004,0.0,6.528,0.04459731392083032,0.07806134369020583
11,11,0.69,0.0,0.41,0.0,0.0,0.0,6.5,0.00033040190069836433,0.0006545209456817247
12,12,0.67,0.0,0.34,0.0,0.0,0.0,6.5,8.752433709827636e-05,0.0002679158285900485
13,13,0.67,0.0,0.42,0.0,0.0,0.0,6.5,6.511186864892287e-05,0.000216443176032044
14,14,0.6,0.0,0.35,0.0,0.0,0.0,6.5,5.656240436484736e-05,0.0001830080658692168
15,15,0.78,0.0,0.42,0.0,0.0,0.0,6.5,4.9915498363718924e-05,0.00015705167679698208
16,16,0.61,0.0,0.44,0.0,0.0,0.0,6.5,4.4271042176714056e-05,0.00013609454035758972
17,17,0.61,0.0,0.31,0.0,0.0,0.0,6.5,3.939192548776711e-05,0.00011842063158837846
18,18,0.62,0.0,0.4,0.0,0.0,0.0,6.5,3.512455302424154e-05,0.0001030952924338635
19,19,0.72,0.0,0.37,0.0,0.0,0.0,6.5,3.137371401992693e-05,8.966217592387693e-05
20,20,0.63,0.5,0.5,0.0,0.0,0.0,6.5,7.506240206780871e-05,0.00018373179646005155
21,21,0.66,0.5,0.34,0.01,0.0,0.0,6.5,7.176653743954376e-05,0.00012077318115188972
22,22,0.56,0.5,0.42,0.0,0.0,0.0,6.5,6.206144451639643e-05,8.25654771688278e-05
23,23,0.68,0.5,0.41,0.0,0.0,0.0,6.5,5.431027987339933e-05,6.402998333214781e-05
24,24,0.65,0.5,0.4,0.0,0.0,0.0,6.5,4.7907133728799905e-05,5.2056610547879246e-05
25,25,0.56,0.5,0.41,0.0,0.0,0.0,6.5,4.2532041282226734e-05,4.3158998596481976e-05
26,26,0.67,0.5,0.44,0.0,0.0,0.0,6.5,3.796913487723727e-05,3.610827270676964e-05
27,27,0.65,1.0,0.46,0.0,0.0,0.0,6.5,3.4050038084387777e-05,3.0455949445240553e-05
28,28,0.65,1.0,0.49,0.0,0.0,0.0,6.5,3.061352575006073e-05,2.5944246999642928e-05
29,29,0.7,1.0,0.45,0.01,0.0,0.0,6.5,2.758141054073349e-05,2.2186305295690547e-05
30,30,0.6,1.0,0.48,0.0,0.0,0.0,6.5,2.488724476279458e-05,1.9042923076995068e-05
31,31,0.7,1.0,0.46,0.0,0.0,0.0,6.5,2.2471805641544053e-05,1.6392164980061352e-05
32,32,0.68,1.0,0.48,0.0,0.0,0.0,6.5,2.028368250167285e-05,1.4138149890641214e-05
33,33,0.65,1.0,0.42,0.0,0.0,0.0,6.5,1.833605422100792e-05,1.2211927037242275e-05
34,34,0.7,1.0,0.51,0.0,0.0,0.0,6.5,1.654615111224952e-05,1.0567513163550757e-05
35,35,0.71,1.0,0.52,0.0,0.0,0.0,6.5,1.492616895441589e-05,9.165279607259436e-06
36,36,0.64,1.0,0.55,0.0,0.0,0.0,6.5,1.3449813637375235e-05,7.976328481618111e-06
37,37,0.62,1.0,0.49,0.0,0.0,0.0,6.5,1.2095949387003202e-05,6.971109280584642e-06
38,38,0.72,1.0,0.48,0.0,0.0,0.0,6.5,1.1131748604904197e-05,1.1548506881808862e-05
39,39,0.68,1.0,0.51,0.0,0.0,0.0,6.5,1.0079283851262197e-05,1.2406722510149848e-05
40,40,0.69,0.5,0.55,0.0,0.0,0.0,6.5,9.042708760326996e-06,1.4338426592530595e-05
41,41,0.75,0.5,0.5,0.0,0.0,0.0,6.5,8.044677114786977e-06,8.336510188655665e-06
42,42,0.73,0.5,0.53,0.0,0.0,0.0,6.5,7.198471173199193e-06,8.2187348084517e-06
43,43,0.71,0.5,0.42,0.0,0.0,0.0,6.5,6.400961397315875e-06,6.7811833218911485e-06
44,44,0.7,0.5,0.51,0.0,0.0,0.0,6.5,5.6955751201063066e-06,6.2217155971211475e-06
45,45,0.69,0.5,0.57,0.0,0.0,0.0,6.5,5.051912975271561e-06,5.725982742887936e-06
46,46,0.64,0.5,0.53,0.0,0.0,0.0,6.5,4.473528042581166e-06,5.680588208178959e-06
47,47,0.68,0.5,0.39,0.0,0.0,0.0,6.5,3.951257661035068e-06,4.903622993879253e-06
48,48,0.73,0.5,0.6,0.0,0.0,0.0,6.5,3.4804320746064017e-06,4.615989797684961e-06
49,49,0.61,0.5,0.51,0.0,0.0,0.0,6.5,3.0585497236589773e-06,4.4752066173714414e-06
50,50,0.64,0.5,0.48,0.0,0.0,0.0,6.5,2.6801960627510977e-06,4.491009036655669e-06
51,51,0.77,0.5,0.54,0.0,0.0,0.0,6.5,2.3260354148934467e-06,4.4729239618845895e-06
52,52,0.72,0.5,0.45,0.0,0.0,0.0,6.5,2.0101165351401763e-06,4.442343055188758e-06
53,53,0.74,0.5,0.51,0.0,0.0,0.0,6.5,1.7357926300492714e-06,4.086601131803036e-06
54,54,0.72,0.5,0.5,0.0,0.0,0.0,6.5,1.4982908104294828e-06,3.790507594203518e-06
55,55,0.7,0.5,0.44,0.0,0.0,0.0,6.5,1.2919004695825554e-06,3.5070053854724394e-06
56,56,0.64,0.5,0.46,0.0,0.0,0.0,6.5,1.1141773191931344e-06,3.3945912434774074e-06
