,training_round,random,left,lvl1,lvl2,wins_p1,ties,game_length,loss_p1,loss_p2
0,0,0.35,0.0,0.11,0.0,,,,,
1,1,0.69,0.5,0.51,0.16,0.515,0.033,22.34,0.14478259296358112,0.14638449745665816
2,2,0.72,0.5,0.43,0.11,0.5650000000000001,0.015000000000000001,23.116999999999997,0.13291757763549686,0.13670958162471653
3,3,0.74,1.0,0.44,0.22,0.48300000000000004,0.008,20.207,0.1520971875488758,0.14927613766491413
4,4,0.8,0.0,0.67,0.26,0.61,0.01,22.803,0.1474780321493745,0.15027767351269722
5,5,0.77,0.0,0.61,0.19,0.504,0.008,20.325,0.17248461917042732,0.1733238459676504
6,6,0.82,0.0,0.71,0.14,0.589,0.004,21.535999999999998,0.13437781134806573,0.13011433548852802
7,7,0.68,1.0,0.51,0.11,0.559,0.011,23.108,0.15463463062420488,0.15653355722129345
8,8,0.74,0.5,0.49,0.18,0.496,0.012,22.853,0.15951110675930974,0.1618371897339821
9,9,0.83,0.5,0.6,0.11,0.44,0.025,22.135,0.16465313430130482,0.1581626007705927
10,10,0.65,0.5,0.5,0.15,0.45099999999999996,0.007000000000000001,20.945999999999998,0.15391438618302344,0.1487755156159401
11,11,0.62,0.5,0.54,0.14,0.437,0.007000000000000001,21.108,0.15370733185112476,0.14764111619070172
12,12,0.86,1.0,0.7,0.16,0.5269999999999999,0.012,19.468,0.16246026757359505,0.1579233306273818
13,13,0.86,0.5,0.71,0.24,0.7,0.009,20.771,0.13477489498257636,0.13287785444781186
14,14,0.64,0.5,0.51,0.07,0.597,0.003,23.500999999999998,0.16365020093321803,0.1546778817921877
15,15,0.77,0.0,0.57,0.16,0.552,0.007000000000000001,21.788,0.1589655540883541,0.1514569700397551
16,16,0.78,0.0,0.59,0.28,0.534,0.007000000000000001,20.151,0.16434063459932804,0.15785756804049014
17,17,0.83,0.5,0.72,0.12,0.558,0.004,20.024,0.1742648426964879,0.16930448343604804
